method	class	precision	recall	f1_score	support	specificity	Cell Labels	category	dataset
cibersort	BCELL	0.197916667	0.463414634	0.277372263	82	0.618811881	BCELL	Immune	Breast
cibersort	MYELOID	0	0	0	32	0.834801762	MYELOID	Immune	Breast
cibersort	STROMAL	0.193181818	0.80952381	0.311926606	21	0.847311828	STROMAL	Stromal	Breast
cibersort	TCELL	0.244274809	0.941176471	0.387878788	34	0.780973451	TCELL	Immune	Breast
cibersort	TUMOR	0	0	0	317	1	TUMOR	Tumour	Breast
gsea	BCELL	0.094763092	0.463414634	0.157349896	82	0.101485149	BCELL	Immune	Breast
gsea	MYELOID	0	0	0	32	1	MYELOID	Immune	Breast
gsea	STROMAL	0	0	0	21	1	STROMAL	Stromal	Breast
gsea	TCELL	0.376470588	0.941176471	0.537815126	34	0.882743363	TCELL	Immune	Breast
gsea	TUMOR	0	0	0	317	1	TUMOR	Tumour	Breast
gsva	BCELL	0.441860465	0.463414634	0.452380952	82	0.881188119	BCELL	Immune	Breast
gsva	MYELOID	0	0	0	32	0.671806167	MYELOID	Immune	Breast
gsva	STROMAL	0.144067797	0.80952381	0.244604317	21	0.782795699	STROMAL	Stromal	Breast
gsva	TCELL	0.240601504	0.941176471	0.383233533	34	0.776548673	TCELL	Immune	Breast
gsva	TUMOR	0	0	0	317	1	TUMOR	Tumour	Breast
metaneighbor	BCELL	0.262068966	0.463414634	0.334801762	82	0.735148515	BCELL	Immune	Breast
metaneighbor	MYELOID	0	0	0	32	1	MYELOID	Immune	Breast
metaneighbor	STROMAL	0.114285714	0.761904762	0.198757764	21	0.733333333	STROMAL	Stromal	Breast
metaneighbor	TCELL	0.15920398	0.941176471	0.272340426	34	0.626106195	TCELL	Immune	Breast
metaneighbor	TUMOR	0	0	0	317	1	TUMOR	Tumour	Breast
ora	BCELL	0.094763092	0.463414634	0.157349896	82	0.101485149	BCELL	Immune	Breast
ora	MYELOID	0	0	0	32	1	MYELOID	Immune	Breast
ora	STROMAL	0	0	0	21	1	STROMAL	Stromal	Breast
ora	TCELL	0.376470588	0.941176471	0.537815126	34	0.882743363	TCELL	Immune	Breast
ora	TUMOR	0	0	0	317	1	TUMOR	Tumour	Breast
adobo	BCELL	0.974358974	0.463414634	0.628099174	82	0.997524752	BCELL	Immune	Breast
adobo	MYELOID	0.913043478	0.65625	0.763636364	32	0.995594714	MYELOID	Immune	Breast
adobo	STROMAL	0	0	0	21	1	STROMAL	Stromal	Breast
adobo	TCELL	0.376470588	0.941176471	0.537815126	34	0.882743363	TCELL	Immune	Breast
adobo	TUMOR	0	0	0	317	1	TUMOR	Tumour	Breast
adobo	Unknown	0	0	0	0	0.302469136			Breast
sccatch	BCELL	0	0	0	82	1	BCELL	Immune	Breast
sccatch	MYELOID	0.913043478	0.65625	0.763636364	32	0.995594714	MYELOID	Immune	Breast
sccatch	STROMAL	0	0	0	21	1	STROMAL	Stromal	Breast
sccatch	TCELL	0.147982063	0.970588235	0.256809339	34	0.579646018	TCELL	Immune	Breast
sccatch	TUMOR	1	0.384858044	0.555808656	317	1	TUMOR	Tumour	Breast
sccatch	Unknown	0	0	0	0	0.757201646			Breast
SVM	BCELL	0.987654321	0.975609756	0.981595092	82	0.997524752	BCELL	Immune	Breast
SVM	MYELOID	0.962962963	0.8125	0.881355932	32	0.997797357	MYELOID	Immune	Breast
SVM	STROMAL	0.833333333	0.476190476	0.606060606	21	0.995698925	STROMAL	Stromal	Breast
SVM	TCELL	0.882352941	0.882352941	0.882352941	34	0.991150442	TCELL	Immune	Breast
SVM	TUMOR	0.948795181	0.993690852	0.970724191	317	0.899408284	TUMOR	Tumour	Breast
SVMrej	BCELL	1	0.865853659	0.928104575	82	1	BCELL	Immune	Breast
SVMrej	MYELOID	0.952380952	0.625	0.754716981	32	0.997797357	MYELOID	Immune	Breast
SVMrej	STROMAL	0.9	0.428571429	0.580645161	21	0.997849462	STROMAL	Stromal	Breast
SVMrej	TCELL	0.947368421	0.529411765	0.679245283	34	0.997787611	TCELL	Immune	Breast
SVMrej	TUMOR	0.984177215	0.981072555	0.982622433	317	0.970414201	TUMOR	Tumour	Breast
SVMrej	UNLABELED	0	0	0	0	0.899176955			Breast
RF	BCELL	0.951807229	0.963414634	0.957575758	82	0.99009901	BCELL	Immune	Breast
RF	MYELOID	0.956521739	0.6875	0.8	32	0.997797357	MYELOID	Immune	Breast
RF	STROMAL	0.833333333	0.238095238	0.37037037	21	0.997849462	STROMAL	Stromal	Breast
RF	TCELL	0.88	0.647058824	0.745762712	34	0.993362832	TCELL	Immune	Breast
RF	TUMOR	0.908309456	1	0.951951952	317	0.810650888	TUMOR	Tumour	Breast
LDA	BCELL	0.987012987	0.926829268	0.955974843	82	0.997524752	BCELL	Immune	Breast
LDA	MYELOID	0.857142857	0.75	0.8	32	0.991189427	MYELOID	Immune	Breast
LDA	STROMAL	0.909090909	0.476190476	0.625	21	0.997849462	STROMAL	Stromal	Breast
LDA	TCELL	0.828571429	0.852941176	0.84057971	34	0.986725664	TCELL	Immune	Breast
LDA	TUMOR	0.940298507	0.993690852	0.966257669	317	0.881656805	TUMOR	Tumour	Breast
LDArej	BCELL	1	0.890243902	0.941935484	82	1	BCELL	Immune	Breast
LDArej	MYELOID	0.851851852	0.71875	0.779661017	32	0.991189427	MYELOID	Immune	Breast
