ORA.Pval.Uncorrected.cutoff_pos.mLog	B.CELL	CAF	ENDO.	MACROPHAGE	NK	T.CD4	T.CD8	T.CELL
clust1	0.0315962418581481	0	0	0.0312539697893587	1.16157411738426	1.27403234987252	18.9058703218953	10.3823609949233
clust2	0.136608560252196	0	0	0.0266442096051443	2.05266275868486	8.8627369391336	3.63168091594948	2.46860682653598
clust3	8.74347732069289	0	0	0.0863231527638746	1.11120564144085	1.09789578664388	0	0.107775475707807
clust4	0.467879012473682	0	0	0.107775475707807	1.2525361760407	10.9615734524981	1.43410246987264	0.953540299956698
clust5	0.0228869597926313	0	0.0114283350532787	0.0160736776540653	1.70681957271991	3.11307261095734	13.8767605051422	3.10928894996217
clust6	0.282509647126794	0	3.95843446700301	0.396851582409675	0	0	0	0
clust7	0.00532419368408447	0	0.331046152897451	18.2856033319915	0.525982856196655	0.701875034279116	0.00982919957350071	0.122256244572694
clust8	0	1.17295558738767	0	1.76840394537344	0.66227569726941	0	0	0
clust9	0	0	2.96917300048164	0.72607716291019	0	0	0	0
clust10	0	2.4423470353692	0	0	0	0	0	0
clust11	0.109003582493133	0	0	0.020751223929426	1.87273517747392	1.71235987441317	14.5035716336494	4.77702616401211
clust12	0	0	0.771606167678571	1.76840394537344	0.66227569726941	0	0	0
clust13	0	0.988248272259855	3.95843446700301	0.396851582409675	0	0	0	0
clust14	0	4.84955444971667	1.61291975722136	0.300826574146888	0	0	0	0
clust15	0	0	0.993469187947545	2.3366019782723	0	0	0	0
clust16	0.0154573173125757	0	21.4310200245125	0.205438951777776	0.0689955050004991	0	0	0
clust17	0.0297606614569597	19.052176944191	0.625363684665107	0.311760435795527	0	0	0	0
