MetaNeighborUS	ENDO.	STROMAL	CAF	B.CELL	T.CD4	T.CD8	MACROPHAGE	NONE	MAL	NK	T.CELL
clust1	0.24375	0.2625	0.0625	0.6125	0.725	0.96875	0.375	0.23125	0.23125	0.86875	0.91875
clust2	0.03125	0.29375	0.275	0.70625	0.81875	0.90625	0.28125	0.1375	0.1375	0.80625	0.85625
clust3	0.275	0.40625	0.25625	1	0.79375	0.48125	0.69375	0.11875	0.11875	0.68125	0.6125
clust4	0.25625	0.325	0.3375	0.675	0.8375	0.875	0.3125	0.05625	0.05625	0.69375	0.825
clust5	0.1125	0.03125	0.29375	0.53125	0.75625	0.9375	0.39375	0.375	0.375	0.9	0.8875
clust6	0.7125	0.66875	0.8125	0.45	0.51875	0.125	0.5375	0.2625	0.2625	0.40625	0.275
clust7	0.3375	0.85625	0.03125	0.59375	0.5125	0.74375	1	0.2	0.2	0.6125	0.69375
clust8	0.79375	0.6875	0.56875	0.1875	0.34375	0.3375	0.80625	0.29375	0.29375	0.51875	0.3875
clust9	0.65	0.84375	0.7	0.125	0.58125	0.5125	0.6	0.125	0.125	0.08125	0.53125
clust10	0.68125	0.7	0.9375	0	0.4375	0.45	0.6625	0.3875	0.3875	0.4875	0.24375
clust11	0	0.1	0.05	0.91875	0.8	1	0.25	0.6125	0.6125	0.7875	0.9
clust12	0.56875	0.8125	0.68125	0.09375	0.40625	0.20625	0.58125	0.40625	0.40625	0.825	0.35625
clust13	0.775	0.9375	0.85625	0.20625	0.23125	0.09375	0.7875	0.59375	0.59375	0.55	0.46875
clust14	0.80625	0.73125	0.96875	0.0625	0.3125	0.41875	0.725	0.45	0.45	0.24375	0.55
clust15	0.96875	0.825	0.74375	0.7875	0.2	0.03125	0.76875	0.46875	0.46875	0.375	0.1125
clust16	1	0.91875	0.775	0.13125	0.55	0.0625	0.56875	0.63125	0.63125	0.2125	0.05
clust17	0.8375	0.95	1	0.36875	0.425	0	0.50625	0.725	0.725	0.1	0.08125
