	Colorectal	Breast	Glioblastoma	Metastatic Melanoma	Melanoma	AML	Lung	Pancreatic
scPred	2.418827878	2.593956248	4.799572377	4.887792119	6.203756243	7.888936292	9.988439325	8.403158175
CaSTLe	2.441999605	3.348631902	4.146204255	4.380562579	5.12716298	5.866220736	7.751156817	7.253998919
scVI	4.679706564	4.640452516	6.576515676	7.060298313	7.350819813	8.313361676	8.598259667	8.617500608
SVM	0.321196963	0.707010406	1.01758412	1.700509951	3.550747139	3.66994743	4.03140852	4.471661556
ACTINN	2.709112694	3.15037737	4.613266507	4.886895259	5.479458333	6.394548112	7.760081848	8.285703992
SingleCellNet	2.870443511	3.168236517	5.07225456	5.394324707	6.461481881	7.242683026	10.32055925	9.695308371
SVMrej	0.739580447	1.659002796	2.161072509	2.973250175	4.639172311	5.153752483	5.529943947	6.048066917
singleR	0.64628344	0.623683347	2.174011402	3.517394098	5.112359399	8.729997259	9.865295792	8.368395102
LDArej	0.965315527	1.273879462	3.221134636	3.52536779	4.655747565	8.229031	9.094252302	
LDA	0.958112324	1.239552513	3.222246598	3.530671111	4.663125134	8.224028763	8.879299784	
RF	0.337766727	0.448359569	1.260527805	1.783697054	2.522492973	3.540049297	4.642224538	4.520334133
CHETAH	1.962453854	2.140455428	2.499208159	2.539407537	3.078556179	4.116642527	5.526170235	4.956556231
LAmbDA	5.50018755	6.057302204	5.820653161	5.948882436	6.507042751	7.436999957	8.390388686	8.761541402
kNN9	0.858452795	1.252667065	4.160685129	4.44738633	5.426824454	8.642166742	10.14696165	10.12885573
scmapcell	0.177551043	0.345958124	0.96499726	1.012981486	1.601683881	4.161578524	5.596457434	5.877616263
NMC	0.153140174	0.180226685	0.713977079	0.836870149	1.218695539	3.127508955	3.131693795	3.97734184
Cell_BLAST	6.693889999	6.698925463	7.544223626	7.798433019	8.299966374	9.354641948	9.713501109	9.765048818
scID	3.724149484	3.84379342	4.696319831	4.801408723	5.236877003	5.482561124	8.225173142	7.589855418
scmapcluster	0.173726732	0.54876778	0.397841601	0.53471019	0.602485333	1.366860071	1.938991573	2.411827341
GSVA	4.610333136	4.409007643	5.508494183	5.643413949	6.359257485	7.452955807	7.248336253	7.452205933
ORA	4.565666386	4.413450969	5.52726899	5.659768795	6.371736898	7.45335284	7.25778524	7.464804482
CIBERSORT	5.013169614	4.925490271	5.694974609	5.82307625	6.495964947	7.494816264	7.288208219	9.619552401
scCATCH	5.103072442	5.140193841	5.837031202	6.175193987	6.742790017			
GSEA	4.881563505	4.88690609	5.884344826	5.914954007	6.539963282	7.490355322	7.348564407	7.749826319
Adobo	5.255715821	5.338455271	6.786747698	5.902461898	7.441189683			9.523857957
MetaNeighbor	5.15534515	4.694771952	5.568047677	5.737869069	6.407556587	7.464988946	7.267302141	7.470513687
