	Li	Chung	Darmanis	Tirosh	Jerby Arnon	van Galan	Lambrechts	Peng
CaSTLe	2.4419996053722555	3.348631901696128	4.1462042546562525	4.380562578785764	5.127162980035439	5.8662207364405585	7.751156817177569	7.253998918821308
scVI	4.679706563881781	4.640452515953419	6.576515675814074	7.060298312866036	7.3508198129956615	8.313361676116953	8.598259667113757	8.617500608269964
SVM	0.3211969631944874	0.707010405882792	1.0175841195601703	1.700509951199427	3.550747138811491	3.6699474302841306	4.031408519586203	4.47166155594804
SingleCellNet	2.8704435110870565	3.1682365170884843	5.072254559520822	5.3943247071004015	6.461481880559742	7.242683026236719	10.320559251886591	9.695308370992095
ACTINN	2.7091126940382146	3.1503773698531874	4.613266507345862	4.886895258862177	5.479458332708813	6.3945481123560795	7.760081848485816	8.285703992133172
SVMrej	0.7395804470833992	1.6590027957589355	2.1610725093953347	2.9732501751462572	4.639172311104935	5.153752482860576	5.5299439466484115	6.048066917221515
singleR	0.6462834402359598	0.6236833470389056	2.174011401664128	3.5173940979639835	5.1123593989285325	8.729997258751022	9.865295792099056	8.368395101556262
LDA	0.9581123242861803	1.2395525130146572	3.2222465984514104	3.530671111480579	4.663125133933555	8.22402876289113	8.879299784201196	
LDArej	0.9653155268931275	1.2738794618270481	3.2211346358159934	3.525367789990431	4.655747565409596	8.229031000407199	9.094252301787828	
RF	0.3377667265477393	0.44835956906402175	1.2605278053547158	1.7836970538048769	2.5224929731185615	3.5400492969073514	4.642224537954403	4.5203341326384
CHETAH	1.962453854288432	2.140455428067583	2.499208159020458	2.539407536951928	3.078556178768379	4.116642527310335	5.526170235487694	4.956556231317436
LAmbDA	5.500187549808828	6.057302204062329	5.820653160914628	5.948882435880972	6.5070427506743105	7.43699995738999	8.390388686347118	8.761541402133595
kNN9	0.8584527950929307	1.2526670651323133	4.160685128778585	4.447386329630824	5.426824453569349	8.642166742154332	10.146961654659997	10.128855731536024
scmapcell	0.17755104323668777	0.34595812411068705	0.9649972598499347	1.012981485541486	1.6016838807749378	4.161578523778343	5.5964574341837015	5.877616262950428
NMC	0.15314017384126646	0.18022668473927597	0.7139770791523793	0.836870149226421	1.2186955388980987	3.127508954996488	3.1316937949736876	3.9773418399347795
scPred	2.4188278780300845	2.5939562480769607	4.799572376857502	4.887792118868409	6.203756242690013	7.8889362916788395	9.988439324745576	8.403158175435928
Cell_BLAST	6.693889999399462	6.698925462973305	7.544223625727689	7.798433018959958	8.299966374398885	9.354641948308391	9.71350110870221	9.765048817507001
scID	3.7241494839217153	3.8437934196170787	4.6963198305277185	4.801408722699216	5.236877002891377	5.482561123988282	8.225173142385904	7.589855418277492
scmapcluster	0.17372673171556804	0.5487677797281822	0.3978416010408784	0.534710189697209	0.6024853325335274	1.3668600710828958	1.9389915733481466	2.4118273414738427
gsva	4.610333136149047	4.409007642676856	5.508494183484816	5.643413949400864	6.359257484791525	7.452955807181118	7.2483362533113	7.452205932914887
ora	4.565666385970796	4.413450968721124	5.5272689898448	5.659768795087781	6.371736897604798	7.4533528403344755	7.257785240184552	7.464804482182698
cibersort	5.0131696140961015	4.925490271072063	5.694974608649866	5.823076250210577	6.495964947321474	7.4948162637900335	7.288208218684251	9.61955240065007
sccatch	5.103072442304093	5.1401938412960995	5.837031202412179	6.175193987480323	6.742790017349335			
gsea	4.88156350542421	4.886906089675575	5.884344826299335	5.914954006626007	6.5399632818812155	7.490355321954995	7.348564407236985	7.7498263186199265
adobo	5.255715821418033	5.338455270946078	6.786747698308079	5.902461898088688	7.441189682666942			9.523857957492131
metaneighbor	5.155345149916337	4.694771951888701	5.56804767682563	5.737869069383183	6.407556587226021	7.464988946014089	7.267302141352585	7.470513686980846
