ENRICHMENT	B_CELLS	MACROPHAGES	DENDRITIC_CELLS	T_CELLS	ENDOTHELIAL_CELL	MAST_CELLS	FIBROBLASTS	CANCER_CELLS
clust1	-0.0997736451999279	0.290520149121387	0.515971781940425	-0.594709746138419	-0.591603053434709	0.0211708312990639	-0.486468115957858	-0.410218702395863
clust2	0.0254760108294889	0.401029646724762	0.044560827304572	-0.53470619563249	-0.464583703177336	0.117038746615743	-0.3496065433635	-0.181970676846608
clust3	-0.0548577515423576	0.987661991833836	0.498249067753601	-0.462364636960401	-0.70876974968889	0.0738094181349809	0.280470483799357	-0.598178628918247
clust4	-0.14912786827024	0.0400319545537373	0.514868158154955	0.500976389135525	-0.659861530267637	-0.0443076951976419	-0.621110138042377	-0.191127257326297
clust5	-0.101060760729643	0.182762293627012	0.306313388910849	-0.577045979051614	-0.668116456594636	-0.0406550974213433	-0.383306900049176	0.204924604809911
clust6	0.019262349651556	-0.800106515177944	0.12012726274553	0.713474170069244	0.0378128883368021	0.0427411122453166	0.110119840213115	0.611278962365792
clust7	0.976965070347535	0.692969998224762	-0.231164784332767	-0.552636250665326	-0.42162258121747	0.178598375571406	-0.328584110075737	-0.589147069310483
clust8	-0.179130975100933	0.200514823362494	0.728328402483604	0.048198118232059	0.307917628262159	0.00510407882469466	-0.521329498832773	-0.420707743783226
clust9	0.0301362567129385	0.952423220308894	0.597824436231799	-0.325492632699835	-0.448961477010112	0.225910967111952	0.330405089149718	-0.492948415495733
clust10	-0.180284940748146	0.126131723770825	0.391638187386351	-0.493609089294849	-0.263536303923003	0.00408326305974854	-0.649109565563581	-0.0200056287976417
clust11	-0.108206471084292	-0.793449316527139	-0.928408572612939	-0.606248890466482	0.81572874134564	0.0183746837689941	0.632356857523178	0.0610149523648046
clust12	0.493137296960372	0.243742233268392	-0.879596214538549	0.536658973903844	0.576424640511323	0.0565887000132814	0.221369208870956	0.149829825646504
clust13	-0.120012427322266	-0.299485176637354	8.87665882239319e-05	-0.644061778803058	0.905911592401917	-0.092716701433525	0.690209917357577	0.1230266025402
clust14	-0.235142692290548	-0.75776673175882	-0.76009641655091	-0.517841292383782	0.554766554234035	0.0725666858993944	0.923879272081646	-0.000339261764739196
clust15	0.406151524566133	-0.594354695543709	-0.177751001052983	0.246582638026069	0.915941771702467	0.106653055789769	-0.0483799378606973	0.131478838566695
clust16	0.893702010563223	0.376797443635829	-0.509312840144185	-0.436445943546597	-0.431652760518017	0.340197949491838	-0.0408344429649899	-0.252428015484615
clust17	-0.143736122224583	-0.958459080418443	-0.487247851673805	0.687999289898827	0.573761761051001	0.0321335049487026	0.499225389402415	0.513041990512521
clust18	-0.054983577779897	0.830374578377417	0.806737459999811	0.773300195277825	0.304100834369031	0.0140695042385692	-0.29018580851529	-0.241095902259319
clust19	-0.0543695353069377	-0.81155689685733	0.778291041815879	0.983046334102609	-0.588318835433645	0.116728063556846	-0.553928935209553	0.190391665002484
clust20	0.00537037858946515	0.5497958459081	-0.677559849087542	-0.242677081483812	-0.410793538078826	0.992454839998226	-0.34278739458527	-0.424502016464542
clust21	0.0333318538901612	0.588851411326161	0.69473410946062	-0.000887626486548498	-0.352565240546445	0.1487284186232	0.498046644524773	-0.47430093209089
clust22	0.130309351560042	-0.716580862772502	0.400451979973396	0.482247470264592	-0.397745428723247	0.12848963650079	0.209631602308004	0.590767677042745
clust23	0.195064577692928	-0.931120184625801	-0.84328175177918	-0.235753594886974	0.354873069412509	0.162886689450062	0.160852197070525	-0.0110519307590097
