Pvalue.P0.01.Q0.25	B.CELL	CAF	ENDO.	MACROPHAGE	NK	T.CD4	T.CD8	T.CELL
clust1	NS	NA	NA	NS	NS	NS	0.0010131713	0.0040281974
clust2	NS	NA	NA	NS	NS	0.0010917031	NS	NS
clust3	0.0	NS	NS	NS	NS	NS	NA	NS
clust4	NS	NS	NS	NS	NS	0.0010752688	NS	NS
clust5	NS	NA	NA	NS	NS	NS	0.0010060362	NS
clust6	NS	NS	NS	NS	NS	NS	NA	NS
clust7	NS	NA	NS	0.0	NS	NS	NS	NS
clust8	NS	NS	NS	NS	NS	NS	NS	NS
clust9	NS	NS	NS	NS	NS	NS	NS	NS
clust10	NS	NS	NS	NS	NS	NS	NS	NS
clust11	NS	NA	NA	NS	NS	NS	0.0010111224	NS
clust12	NS	NS	NS	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS	NA	NS
clust14	NS	NS	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS	NS	NS
clust16	NS	NS	0.0	NS	NS	NS	NA	NS
clust17	NS	0.0	NS	NS	NS	NS	NA	NA
