Pvalue.All.mLog	B.CELL	CAF	ENDO.	MACROPHAGE	NK	T.CD4	T.CD8	T.CELL
clust1	0.13424947895824	NA	NA	0.00909553929159206	1.67296787567055	1.01731759582441	6.89466996633348	5.51443629837528
clust2	0.465808282034773	NA	NA	0.0306146834880018	2.66561662587602	6.82001632507413	3.23817554714231	3.9070104891046
clust3	29.9336062089226	0.0920316301265974	0.0580473782635273	0.432947719127074	1.34105563871797	1.44096497328273	NA	0.25664630321075
clust4	1.06611310485074	0.164708972952042	0.0557419751101461	0.0706420592211972	1.58361725340059	6.8351846021473	1.57083835369575	0.562629399304069
clust5	0.12583139952103	NA	NA	0.0141416636295244	1.65571868526126	0.904966790400714	6.90173722385657	2.37014320852147
clust6	0.187741659045903	0.708651351470911	2.67516231050738	0.43240453790298	1.01210308774778	0.432596482687581	NA	0.186534659460183
clust7	0.0304901357980354	NA	0.642766092105745	29.9336062089226	0.721896613429265	0.413750139392687	0.0288085705357415	0.03476834447342
clust8	2.15216312761889	0.331244763697013	0.651515721744329	0.933029623704457	1.16883490169162	0.415710614521352	0.00100750736513971	0.00200801471279341
clust9	0.0482887913777782	0.3947238524947	2.32218345235434	1.24426507806191	1.29015049256699	0.512689526420472	0.0132722884495184	0.0370031912733415
clust10	0.715392789507265	1.1123183287763	1.25226163418442	1.24279274180052	1.25781601365172	0.255798337421735	0.00100650635762562	0
clust11	0.0737996842946922	NA	NA	0.00201001873486577	2.63805083629963	1.21473558245837	6.89669427802271	3.50154534782977
clust12	0.364282810504861	0.472067597764108	1.65169040880108	1.29894872333496	1.0916227524864	0.464257132033356	0.00202224335647633	0.0182375985927258
clust13	0.0847344257571405	0.852175902043571	2.61027125303377	1.12500975619815	0.700221464404106	0.0646104170553541	NA	0.125965843698732
clust14	0.0111056399658091	3.21571295701232	2.76854825592858	0.671212122628601	0.510153183238141	0.0357579633973076	0.00407745151859723	0.0483882549457652
clust15	0.0512932943875506	0.640108340524013	1.48563679956326	3.12356564506388	0.858741894259488	0.229709560450054	0.00200801471279341	0.205250405231195
clust16	0.141563564321787	0.370586693718266	29.9336062089226	0.201115705575577	0.108156130862161	0.117915444422037	NA	0.0314906670913708
clust17	0.0141131232632667	29.9336062089226	0.432486890108864	0.250884163715124	0.117908299751603	0.185542177429481	NA	NA
