FDRQvalue.P0.01.Q0.25	B.CELL	CAF	ENDO.	MACROPHAGE	NK	T.CD4	T.CD8	T.CELL
clust1	NS	NA	NA	NS	NS	NS	0.00225	0.033375002
clust2	NS	NA	NA	NS	NS	0.0015	NS	NS
clust3	0.007	NS	NS	NS	NS	NS	NA	NS
clust4	NS	NS	NS	NS	NS	0.003	NS	NS
clust5	NS	NA	NA	NS	NS	NS	0.0046071424	NS
clust6	NS	NS	NS	NS	NS	NS	NA	NS
clust7	NS	NA	NS	0.00175	NS	NS	NS	NS
clust8	NS	NS	NS	NS	NS	NS	NS	NS
clust9	NS	NS	NS	NS	NS	NS	NS	NS
clust10	NS	NS	NS	NS	NS	NS	NS	NS
clust11	NS	NA	NA	NS	NS	NS	0.0031071429	NS
clust12	NS	NS	NS	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS	NA	NS
clust14	NS	NS	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS	NS	NS
clust16	NS	NS	0.0018749998	NS	NS	NS	NA	NS
clust17	NS	0.0	NS	NS	NS	NS	NA	NA
