ENRICHMENT	TCELL	BCELL	MACROPHAGE	ENDOTHELIAL	CAF
clust1	0.400043029259797	0.058907056798541	0.249750797941034	-0.24732071416397	-0.299055290108032
clust2	0.908304647160064	0.0185456110153747	0.145647777634419	0.429453774334598	-0.401097799731923
clust3	-0.309456914524848	0.963037865748699	0.194657395316955	-0.0422529151068339	-0.374903461519289
clust4	-0.58911359724652	-0.606249762149191	-0.366073564900005	-0.523790306089514	0.243551736997536
clust5	0.906067125645425	0.0758605851977942	0.103825136612073	-0.0546878361515381	-0.369905069807418
clust6	-0.627194492255141	-0.578430330870003	-0.199468916165699	-0.725877803128589	0.0505680840076454
clust7	-0.400387263339415	-0.142512908778233	0.331353931896459	-0.0669076201539633	0.506792756195542
clust8	-0.334165232358301	-0.327293271164405	-0.0258164450754485	-0.124478292672335	0.101621893257632
clust9	-0.466179001721535	0.0324440619620072	0.982401789940193	0.574550207741376	-0.118522981580239
clust10	0.288468158347552	-0.334062560035469	-0.324297577556786	-0.0356697216125813	-0.342528834566884
clust11	0.721127366609241	0.0654475043027678	-0.387924945606079	0.114668043543811	-0.219376603205081
clust12	-0.275602409638839	-0.335072908807761	0.0298610214707541	-0.0619164407726908	0.417986691759416
clust13	0.730593803786572	0.602970266502762	-0.0955208467793038	0.33168431495529	-0.155833653981285
clust14	-0.388640275387588	-0.410904151566775	0.243891037334153	0.981283077320254	0.421445923427093
clust15	-0.374827882960752	-0.108132530120655	0.363194354804059	-0.547504904118854	0.975813393010847
clust16	-0.239298212199481	0.633003442340767	-0.0130373047630535	0.243035909958555	-0.0772938543638342
