method	class	precision	recall	f1_score	support	specificity	cellprop	sorting	dataset
SVM	ERYTHROBLASTS	0.9925558312655087	1.0	0.9962640099626401	400	0.99953125	0.058823529411764705	8.0	balanced
LDA	ERYTHROBLASTS	0.963855421686747	1.0	0.9815950920245399	400	0.99765625	0.058823529411764705	8.0	balanced
LDArej	ERYTHROBLASTS	0.963855421686747	1.0	0.9815950920245399	400	0.99765625	0.058823529411764705	8.0	balanced
ACTINN	ERYTHROBLASTS	0.9950248756218906	1.0	0.9975062344139651	400	0.9996875	0.058823529411764705	8.0	balanced
CaSTLe	ERYTHROBLASTS	0.9925558312655087	1.0	0.9962640099626401	400	0.99953125	0.058823529411764705	8.0	balanced
scmapcluster	ERYTHROBLASTS	0.9900990099009901	1.0	0.9950248756218906	400	0.999375	0.058823529411764705	8.0	balanced
CHETAH	ERYTHROBLASTS	0.6752941176470588	0.7175	0.6957575757575758	400	0.9784375	0.058823529411764705	8.0	balanced
kNN9	ERYTHROBLASTS	0.9569377990430622	1.0	0.9779951100244498	400	0.9971875	0.058823529411764705	8.0	balanced
SingleCellNet	ERYTHROBLASTS	0.9828009828009828	1.0	0.9913258983890954	400	0.99890625	0.058823529411764705	8.0	balanced
SVMrej	ERYTHROBLASTS	1.0	1.0	1.0	400	1.0	0.058823529411764705	8.0	balanced
RF	ERYTHROBLASTS	0.9950248756218906	1.0	0.9975062344139651	400	0.9996875	0.058823529411764705	8.0	balanced
scmapcell	ERYTHROBLASTS	1.0	0.5425	0.7034035656401945	400	1.0	0.058823529411764705	8.0	balanced
NMC	ERYTHROBLASTS	0.5882352941176471	1.0	0.7407407407407407	400	0.95625	0.058823529411764705	8.0	balanced
singleR	ERYTHROBLASTS	0.9961538461538462	0.6475	0.7848484848484848	400	0.99984375	0.058823529411764705	8.0	balanced
scVI	ERYTHROBLASTS	0.9950248756218906	1.0	0.9975062344139651	400	0.9996875	0.058823529411764705	8.0	balanced
LAmbDA	ERYTHROBLASTS	0.9900990099009901	1.0	0.9950248756218906	400	0.999375	0.058823529411764705	8.0	balanced
scID	ERYTHROBLASTS	1.0	0.3625	0.5321100917431192	400	1.0	0.058823529411764705	8.0	balanced
scPred	ERYTHROBLASTS	0.9938837920489296	0.8125	0.8940852819807427	400	0.9996875	0.058823529411764705	8.0	balanced
singleR	BASAL_CELLS	0.9948586118251928	0.9675	0.9809885931558935	400	0.9996875	0.058823529411764705	68.0	balanced
SingleCellNet	BASAL_CELLS	0.9975062344139651	1.0	0.9987515605493134	400	0.99984375	0.058823529411764705	68.0	balanced
scmapcluster	BASAL_CELLS	0.9819587628865979	0.9525	0.9670050761421319	400	0.99890625	0.058823529411764705	68.0	balanced
kNN9	BASAL_CELLS	0.9920844327176781	0.94	0.9653401797175867	400	0.99953125	0.058823529411764705	68.0	balanced
scVI	BASAL_CELLS	1.0	1.0	1.0	400	1.0	0.058823529411764705	68.0	balanced
LDA	BASAL_CELLS	1.0	0.9525	0.9756722151088347	400	1.0	0.058823529411764705	68.0	balanced
ACTINN	BASAL_CELLS	0.9925558312655087	1.0	0.9962640099626401	400	0.99953125	0.058823529411764705	68.0	balanced
SVMrej	BASAL_CELLS	0.9975062344139651	1.0	0.9987515605493134	400	0.99984375	0.058823529411764705	68.0	balanced
scPred	BASAL_CELLS	0.9972826086956522	0.9175	0.9557291666666666	400	0.99984375	0.058823529411764705	68.0	balanced
scID	BASAL_CELLS	0.4631578947368421	0.22	0.2983050847457627	400	0.9840625	0.058823529411764705	68.0	balanced
scmapcell	BASAL_CELLS	0.989247311827957	0.92	0.9533678756476685	400	0.999375	0.058823529411764705	68.0	balanced
CHETAH	BASAL_CELLS	0.9697885196374623	0.8025	0.8782489740082079	400	0.9984375	0.058823529411764705	68.0	balanced
LDArej	BASAL_CELLS	1.0	0.9525	0.9756722151088347	400	1.0	0.058823529411764705	68.0	balanced
NMC	BASAL_CELLS	0.9889705882352942	0.6725	0.800595238095238	400	0.99953125	0.058823529411764705	68.0	balanced
RF	BASAL_CELLS	0.9975062344139651	1.0	0.9987515605493134	400	0.99984375	0.058823529411764705	68.0	balanced
LAmbDA	BASAL_CELLS	0.9873096446700508	0.9725	0.9798488664987406	400	0.99921875	0.058823529411764705	68.0	balanced
CaSTLe	BASAL_CELLS	0.9875930521091811	0.995	0.991282689912827	400	0.99921875	0.058823529411764705	68.0	balanced
SVM	BASAL_CELLS	0.9925558312655087	1.0	0.9962640099626401	400	0.99953125	0.058823529411764705	68.0	balanced
LDArej	LYMPHATIC_EC	1.0	0.96	0.9795918367346939	400	1.0	0.058823529411764705	85.0	balanced
kNN9	LYMPHATIC_EC	0.9845360824742269	0.955	0.9695431472081217	400	0.9990625	0.058823529411764705	85.0	balanced
