method	class	precision	recall	f1_score	support	specificity	cellprop	sorting	dataset
LAmbDA	GMP	0.6538461538461539	0.595	0.6230366492146596	200	0.937	0.16666666666666666	897.0	balanced
SVM	GMP	0.7962962962962963	0.86	0.826923076923077	200	0.956	0.16666666666666666	897.0	balanced
CaSTLe	GMP	0.7264150943396226	0.77	0.7475728155339806	200	0.942	0.16666666666666666	897.0	balanced
SingleCellNet	GMP	0.7909090909090909	0.87	0.8285714285714286	200	0.954	0.16666666666666666	897.0	balanced
LDArej	GMP	0.8691588785046729	0.465	0.6058631921824105	200	0.986	0.16666666666666666	897.0	balanced
scVI	GMP	0.7860696517412935	0.79	0.7880299251870324	200	0.957	0.16666666666666666	897.0	balanced
SVMrej	GMP	0.9391304347826087	0.54	0.6857142857142858	200	0.993	0.16666666666666666	897.0	balanced
LDA	GMP	0.6461538461538462	0.84	0.7304347826086957	200	0.908	0.16666666666666666	897.0	balanced
scmapcell	GMP	0.7593984962406015	0.505	0.6066066066066067	200	0.968	0.16666666666666666	897.0	balanced
ACTINN	GMP	0.7403846153846154	0.77	0.7549019607843137	200	0.946	0.16666666666666666	897.0	balanced
NMC	GMP	0.5514705882352942	0.375	0.44642857142857145	200	0.939	0.16666666666666666	897.0	balanced
kNN9	GMP	0.43301435406698563	0.905	0.5857605177993527	200	0.763	0.16666666666666666	897.0	balanced
singleR	GMP	0.5919003115264797	0.95	0.7293666026871399	200	0.869	0.16666666666666666	897.0	balanced
scID	GMP	0.3904109589041096	0.285	0.32947976878612717	200	0.911	0.16666666666666666	897.0	balanced
scmapcluster	GMP	0.7522123893805309	0.425	0.5431309904153354	200	0.972	0.16666666666666666	897.0	balanced
RF	GMP	0.6473029045643154	0.78	0.7074829931972788	200	0.915	0.16666666666666666	897.0	balanced
CHETAH	GMP	0.8243243243243243	0.61	0.7011494252873564	200	0.974	0.16666666666666666	897.0	balanced
Cell_BLAST	GMP	0.0	0.0	0.0	200.0	1.0	0.16666666666666666	897.0	balanced
scPred	GMP	0.7834394904458599	0.615	0.6890756302521008	200	0.966	0.16666666666666666	897.0	balanced
LDA	GMP_LIKE	0.6954022988505747	0.605	0.6470588235294118	200	0.947	0.16666666666666666	3042.0	balanced
LDArej	GMP_LIKE	0.7916666666666666	0.38	0.5135135135135135	200	0.98	0.16666666666666666	3042.0	balanced
SVM	GMP_LIKE	0.7488151658767772	0.79	0.7688564476885645	200	0.947	0.16666666666666666	3042.0	balanced
scVI	GMP_LIKE	0.7276785714285714	0.815	0.7688679245283018	200	0.939	0.16666666666666666	3042.0	balanced
RF	GMP_LIKE	0.7368421052631579	0.63	0.6792452830188679	200	0.955	0.16666666666666666	3042.0	balanced
