ORA.Pval.Uncorrected.cutoff_pos.mLog	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	0	0	0	0	8.89768231345422
clust2	0	0	0	0	8.89768231345422
clust3	8.89768231345422	0	0	0	0
clust4	NA	NA	NA	NA	NA
clust5	0	0	0	0	8.89768231345422
clust6	NA	NA	NA	NA	NA
clust7	0	2.11021320034659	0	0	0
clust8	NA	NA	NA	NA	NA
clust9	0	0	0.754746303021959	5.95324333428778	0
clust10	0	0	0	0	8.89768231345422
clust11	0	0	0	0	8.89768231345422
clust12	0	1.01160091167848	0	0	0
clust13	0.393574361586642	0	0	0	7.28824440102012
clust14	0	0.478224462390593	5.03695260241363	0	0
clust15	0	12.6753572663513	0	0	0
clust16	7.28824440102012	0	0	0	0.393574361586642
