ORA.Pval.Corrected.P0.05.cutoff_pos	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	NS	NS	NS	NS	0.000683526999316474
clust2	NS	NS	NS	NS	0.000683526999316474
clust3	0.000683526999316474	NS	NS	NS	NS
clust4	NA	NA	NA	NA	NA
clust5	NS	NS	NS	NS	0.000683526999316474
clust6	NA	NA	NA	NA	NA
clust7	NS	NS	NS	NS	NS
clust8	NA	NA	NA	NA	NA
clust9	NS	NS	NS	0.012987012987013	NS
clust10	NS	NS	NS	NS	0.000683526999316474
clust11	NS	NS	NS	NS	0.000683526999316474
clust12	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	0.00341763499658236
clust14	NS	NS	0.0324675324675325	NS	NS
clust15	NS	1.56362385464553e-05	NS	NS	NS
clust16	0.00341763499658236	NS	NS	NS	NS
