ORA.Pval.Corrected.cutoff_pos	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	1	1	1	1	0.000683526999316474
clust2	1	1	1	1	0.000683526999316474
clust3	0.000683526999316474	1	1	1	1
clust4	NA	NA	NA	NA	NA
clust5	1	1	1	1	0.000683526999316474
clust6	NA	NA	NA	NA	NA
clust7	1	0.606060606060606	1	1	1
clust8	NA	NA	NA	NA	NA
clust9	1	1	1	0.012987012987013	1
clust10	1	1	1	1	0.000683526999316474
clust11	1	1	1	1	0.000683526999316474
clust12	1	1	1	1	1
clust13	1	1	1	1	0.00341763499658236
clust14	1	1	0.0324675324675325	1	1
clust15	1	1.56362385464553e-05	1	1	1
clust16	0.00341763499658236	1	1	1	1
