MetaNeighborUS	TCELL	BCELL	MACROPHAGE	ENDOTHELIAL	CAF	MELANOMA	NK
clust1	0.833333333333333	0.416666666666667	0.633333333333333	0.583333333333333	0.366666666666667	0.0416666666666667	0.0416666666666667
clust2	0.9	0.383333333333333	0.666666666666667	0.883333333333333	0.1	0.191666666666667	0.191666666666667
clust3	0.633333333333333	0.966666666666667	0.616666666666667	0.783333333333333	0.0333333333333333	0.225	0.225
clust4	0.3	0.6	0.383333333333333	0.65	0.9	0.208333333333333	0.208333333333333
clust5	0.866666666666667	0.716666666666667	0.516666666666667	0.533333333333333	0.133333333333333	0.158333333333333	0.158333333333333
clust6	0.0333333333333333	0.433333333333333	0.883333333333333	0.183333333333333	0.933333333333333	0.541666666666667	0.541666666666667
clust7	0.266666666666667	0.533333333333333	0.85	0.383333333333333	0.833333333333333	0.308333333333333	0.308333333333333
clust8	0.533333333333333	0.816666666666667	0.416666666666667	0.0666666666666667	0.866666666666667	0.258333333333333	0.258333333333333
clust9	0.483333333333333	0.783333333333333	1	0.666666666666667	0.166666666666667	0.425	0.425
clust10	0.933333333333333	0.666666666666667	0.0833333333333333	0.716666666666667	0.233333333333333	0.441666666666667	0.441666666666667
clust11	0.966666666666667	0.566666666666667	0.45	0.816666666666667	0.0666666666666667	0.558333333333333	0.558333333333333
clust12	0.6	0.283333333333333	0.816666666666667	0	0.966666666666667	0.325	0.325
clust13	1	0.85	0.116666666666667	0.6	0	0.708333333333333	0.708333333333333
clust14	0.5	0	0.316666666666667	1	0.716666666666667	0.491666666666667	0.491666666666667
clust15	0.0833333333333333	0.233333333333333	0.65	0.0333333333333333	1	0.691666666666667	0.691666666666667
clust16	0.0666666666666667	1	0.183333333333333	0.85	0.433333333333333	0.758333333333333	0.758333333333333
