ORA.Pval.Uncorrected.P0.05.cutoff_pos	GMP	GMP_LIKE	HSC_PROG	HSC_PROG_LIKE	MYELOID	MYELOID_LIKE
clust2	NS	NS	0.00800593398200548	NS	NS	NS
clust3	NS	NS	NS	NS	9.07964239753214e-12	9.07964239753214e-12
clust4	NS	NS	1.6051574127223e-11	NS	NS	NS
clust6	NS	NS	NS	NS	5.05096247406776e-07	6.56125523922693e-10
clust7	NS	NS	NS	NS	NS	NS
clust8	NS	NS	NS	NS	0.000307099528241326	6.56125523922693e-10
clust9	NS	NS	6.77626063015044e-05	0.000333363166397396	NS	NS
clust11	NS	0.00022784788844975	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS
clust16	NS	NS	NS	NS	NS	0.00173958783813684
