ORA.Pval.Corrected.cutoff_pos	GMP	GMP_LIKE	HSC_PROG	HSC_PROG_LIKE	MYELOID	MYELOID_LIKE
clust2	0.960100941128271	0.960100941128271	0.0480356038920329	0.0674246307859006	0.960100941128271	0.960100941128271
clust3	0.999994880961234	0.999994880961234	0.999994880961234	0.999994880961234	2.72389271925964e-11	2.72389271925964e-11
clust4	0.999692900471759	0.999692900471759	9.6309444763338e-11	0.054549637715209	0.999692900471759	0.999692900471759
clust6	0.999991334486467	0.999991334486467	0.999991334486467	0.999991334486467	1.51528874222033e-06	3.93675314353616e-09
clust7	0.93116799528337	0.93116799528337	0.452846290741558	0.569185485572848	0.881119591821968	0.459797936217009
clust8	0.999991334486467	0.999991334486467	0.999991334486467	0.999991334486467	0.000921298584723979	3.93675314353616e-09
clust9	0.994367490844601	0.994367490844601	0.000406575637809026	0.00100008949919219	0.994367490844601	0.994367490844601
clust11	0.327255625966189	0.0013670873306985	0.245339530451259	0.999389172058117	0.999389172058117	0.999389172058117
clust13	0.535126600948405	0.535126600948405	0.535126600948405	0.91490649253905	0.535126600948405	0.467358745737507
clust15	0.122451714344554	0.524419113017569	0.524419113017569	0.959355280554306	0.959355280554306	0.524419113017569
clust16	0.787319302411568	0.669685087475447	0.787319302411568	0.999829970091032	0.315505706041378	0.0104375270288211
