ORA.Pval.Uncorrected.cutoff_pos.mLog	GMP	GMP_LIKE	HSC_PROG	HSC_PROG_LIKE	MYELOID	MYELOID_LIKE
clust2	0.0965507948207298	0.0965507948207298	4.82757226451052	3.79535717456232	0.0407168530391987	0.373012454647011
clust3	5.11905186831195e-06	0.000234378877226349	0.190097264309045	2.24529633208999e-05	25.4249863076226	25.4249863076226
clust4	0.00576177677928385	0.0183926125135417	24.8552141946992	4.00725649672761	0.000307146692957584	0.0493738737362225
clust6	0.111119923340776	0.0489744326102494	0.0188355491934571	8.66555107873649e-06	14.4985168369065	21.1446689978459
clust7	0.0713155719218804	0.0713155719218804	2.58396199434349	1.25669609334784	0.532027024825319	1.8755804437675
clust8	0.407731490019124	0.0489744326102494	0.0489744326102494	8.66555107873649e-06	8.0883386666915	21.1446689978459
clust9	0.00564843155193602	0.0509313259885186	9.59950004464259	8.00627807246287	0.00564843155193602	0.0509313259885186
clust11	1.81016086325374	8.38683230757953	2.50372447791696	0.271312782935236	0.000611014573273993	0.00923670765476113
clust13	0.807573479587533	0.807573479587533	0.807573479587533	0.0889334128751663	0.807573479587533	2.55241759329247
clust15	3.89179796454616	1.05092918846302	1.05092918846302	0.0414938028889028	0.108105435402665	1.55016666281562
clust16	0.4214429486608	1.09409487634384	0.4214429486608	0.000170044365691684	2.25219080012293	6.35410706844893
