Input_Sample	P-value	Pearson Correlation	RMSE
clust1	0.0	0.14871545675441433	1.004599584435242
clust2	0.0	0.20958573271298425	0.9871540249791182
clust3	0.0	0.12860698780595947	1.0083440899053926
clust4	0.0	0.11902654547757735	1.0159651634693925
clust5	0.0	0.14477349048299087	1.011146195872295
clust6	0.0	0.10735452384750248	1.0606609120943324
clust7	0.0	0.14421134114434747	1.0009616496083544
clust8	0.0	0.13303755425238534	1.0067686790630619
clust9	0.0	0.14564331531367458	1.0089910795559194
clust10	0.0	0.33564970612116896	0.9781124378365061
clust11	0.0	0.15962951003452924	0.9928583065306641
clust12	0.0	0.12177102409132831	1.0201603909463237
clust13	0.0	0.3083926843035396	0.9971765643529978
clust14	0.0	0.3019404608242076	0.9694054894700934
clust15	0.0	0.12392576941915584	1.0062488386602995
clust16	0.0	0.12141595322333582	1.018323794431093
clust17	0.0	0.12847162039707935	0.9997973264930903
clust18	0.0	0.30125812400796964	1.0119615964123434
clust19	0.0	0.2551064380802537	0.9673904527762672
clust20	0.0	0.12734039647092144	1.0088345137108894
clust21	0.0	0.141209440236577	0.996738497567884
clust22	0.0	0.16972195962469497	0.9893524026775177
clust23	0.0	0.21530474790452103	0.9855819600230352
clust24	0.0	0.23407529914939937	0.9733363474399627
clust25	0.0	0.17359924879685193	0.9877010046542376
clust26	0.0	0.2952847138176441	0.9785924421703456
clust27	0.0	0.1973265741979298	0.9838128611904194
clust28	0.0	0.2557812259900932	0.9755594680929426
clust29	0.0	0.12966296712711758	1.0006581113594124
clust30	0.0	0.15897208464713325	0.9934200899657895
clust31	0.0	0.17119713861742109	0.9939136528712375
clust32	0.0	0.15960437705275787	0.9981750672654341
clust33	0.0	0.13739383508147976	0.9974995000009373
