Input_Sample	ACINAR_CELL	B_CELL	DUCTAL_CELL_TYPE_1	DUCTAL_CELL_TYPE_2	ENDOCRINE_CELL	ENDOTHELIAL_CELL	FIBROBLAST	MACROPHAGE	STELLATE_CELL	T_CELL
clust1	0.04622103942057207	0.09732653948133538	0.06534331624617533	0.07622869090002324	0.04815717966266429	0.07779743423435846	0.10423864118523185	0.06338641782136864	0.33480944372463706	0.08649129732363366
clust2	0.03469771294622351	0.15660720115084872	0.04050356793059194	0.09642374917790429	0.03232497893305557	0.06799569008514679	0.06866851434452267	0.2952179585261111	0.03351710004733643	0.17404352685825897
clust3	0.07378841499988084	0.11709198314698832	0.0344432079936662	0.10719010396961207	0.04230233745884466	0.2753598935167349	0.07039517134042729	0.06487549272515526	0.09256627633768474	0.12198711851100572
clust4	0.03701213034514154	0.11633407090898737	0.10057677809925243	0.30221073744100196	0.06929421904342331	0.07662382533335475	0.06404660920629197	0.06738925086101105	0.040547183147523945	0.12596519561401165
clust5	0.10565637857074815	0.10252179657147766	0.33157784932622547	0.10563426056206066	0.059712770980443655	0.07954431432859817	0.059878414412682206	0.007235591335080178	0.046981292920161837	0.10125733099252203
clust6	0.03455342013207019	0.10874832017539138	0.10480880174000312	0.4192553888650146	0.03419813657180476	0.06449605940836821	0.045088252073177966	0.057930820666244436	0.03976717726373529	0.09115362310419005
clust7	0.119277359748467	0.13019959180423044	0.0499793642331111	0.11822399899010098	0.0282063953361561	0.2453205908927203	0.03811884503789823	0.01853447865197503	0.11979553347063523	0.13234384183470557
clust8	0.05572216051953303	0.0952957114429138	0.05185680887191027	0.09343195193827272	0.055819697083548205	0.09259035439701582	0.2905831901391503	0.03140062879034147	0.13118191109871052	0.10211758571860387
clust9	0.14163151007302288	0.10380876429725333	0.3153056008004511	0.09945047261615762	0.06974399624178022	0.06836516696321103	0.05385824888799944	0.001138021647560564	0.04727279718782659	0.09942542128473719
clust10	0.011396102288423486	0.1312953218805337	0.028954823961709494	0.04269093551495249	0.019985809671518195	0.030600576665298158	0.023227927454606164	0.050792517084592786	0.02329288991878605	0.6377630955595794
clust11	0.10776789040577552	0.11660376554433102	0.23350030215124562	0.12717804731604368	0.06045708919844512	0.06958244600435981	0.07498799736972954	0.0505612737368061	0.04587018709582708	0.11349100117743649
clust12	0.034080776954239875	0.08505754181922466	0.06243056451428407	0.08051938337091752	0.04467620123124542	0.07336341686360577	0.355130707366499	0.06704514508140237	0.0973605570131571	0.10033570578542421
clust13	0.008411913089684133	0.590286818260077	0.03305670629989634	0.042941254703035565	0.020503521571423846	0.029686599373769666	0.02420439891568164	0.056707521646619956	0.023246423069838106	0.17095484306997377
clust14	0.6384930737189124	0.05283790000372495	0.07264599789937744	0.05221254946517808	0.029860908445476307	0.0316282630032927	0.027822947993315066	0.027611531823781003	0.025596846816637833	0.04128998083030423
clust15	0.08040759910978462	0.11346046900611247	0.114790410924212	0.25765226209426806	0.028245434505070745	0.0686611858132626	0.09691061084388823	0.07914534225491246	0.040140720502925484	0.12058596494556333
clust16	0.03947442813460663	0.1409478728115919	0.10481518903284925	0.3108976738775475	0.04064368000984769	0.06469774773909015	0.06399065218347272	0.07213743025571177	0.05484822568658281	0.10754710026869957
clust17	0.04958547266575676	0.10233276813913302	0.05562428640477095	0.09253977142986294	0.0792867737040028	0.0779827347333286	0.2439581701197169	0.08054403217157834	0.09009411854212292	0.12805187208972676
clust18	0.008335219663417427	0.620544961900933	0.02566538585669846	0.03585096039483043	0.01955975023138203	0.024535918535633038	0.01896980675263587	0.052819351326344945	0.021147763256543644	0.1725708820815811
clust19	0.03378692365809761	0.20215741790701075	0.07201037112077294	0.11067780676871931	0.07761314925814729	0.06723735121165994	0.07753344314541587	0.0877323891689906	0.04405222144588815	0.22719892631529756
