Pvalue.All	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	0.75348836	NA	NA	0.5650558	0.0
clust2	0.82379866	NA	0.7659575	0.974106	0.0
clust3	0.0	NA	0.99507993	0.6797066	0.793341
clust4	0.84436274	0.038209606	0.99869454	NA	0.9529262
clust5	0.5903188	NA	NA	0.8062954	0.0
clust6	0.5942029	0.22030237	NA	0.4701897	0.88596493
clust7	0.6525529	0.040261153	NA	0.54953766	NA
clust8	0.54591197	0.048511576	NA	NA	0.91100127
clust9	0.77980536	0.9802198	0.5489691	0.0013368984	0.9456522
clust10	0.84615386	NA	0.72166246	NA	0.0024125453
clust11	0.60505164	NA	0.8333333	NA	0.0
clust12	0.97875	0.005393743	NA	0.75065964	0.9754601
clust13	0.6004566	NA	0.91346157	NA	0.0034168565
clust14	NA	0.87218046	0.0	0.81707317	NA
clust15	NA	0.0	NA	NA	NA
clust16	0.077373974	NA	0.79314566	NA	0.56027555
