Pvalue.All.mLog	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	0.283041708944662	NA	NA	0.570830791650302	29.9336062089226
clust2	0.19382912358988	NA	0.266628593809507	0.0262351516923213	29.9336062089226
clust3	29.9336062089226	NA	0.00493221339166775	0.386094044510438	0.231502137165875
clust4	0.169173089988184	3.26466832901329	0.00130631285523218	NA	0.0482178179907589
clust5	0.527092549029864	NA	NA	0.215305102379988	29.9336062089226
clust6	0.520534435453927	1.51275426717451	NA	0.754619048688196	0.121077911553236
clust7	0.426863070274575	3.21236822033308	NA	0.598677972455032	NA
clust8	0.605297543341946	3.02595282910597	NA	NA	0.0932109876507026
clust9	0.24871092889994	0.0199784467515144	0.599713123209624	6.61740297477448	0.05588043080825
clust10	0.16705406829953	NA	0.326197756329953	NA	6.02707294772535
clust11	0.502441469221957	NA	0.182321596793955	NA	29.9336062089226
clust12	0.0214790316771242	5.22251570093176	NA	0.28680293900286	0.0248460218569713
clust13	0.510064913179671	NA	0.0905139730145167	NA	5.67903430263367
clust14	NA	0.136758926942975	29.9336062089226	0.202026628768809	NA
clust15	NA	29.9336062089226	NA	NA	NA
clust16	2.55910480816222	NA	0.231748391995383	NA	0.579326562700175
