FDRQvalue.All	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	NA	0.53789335	0.7430957	NA	NA
clust2	NA	0.12311319	NA	NA	NA
clust3	NA	0.6597485	NA	NA	NA
clust4	NA	NA	NA	0.5219299	NA
clust5	NA	0.24874689	0.7509398	NA	NA
clust6	NA	NA	0.71721554	NA	NA
clust7	NA	NA	1.0	NA	0.6276435
clust8	NA	NA	0.04897551	0.7012742	NA
clust9	NA	NA	NA	NA	NA
clust10	NA	0.90033513	NA	0.66554993	NA
clust11	NA	0.33458647	NA	0.40100253	NA
clust12	NA	NA	0.020927887	NA	NA
clust13	NA	0.12378976	NA	0.39211616	NA
clust14	0.7792552	NA	NA	NA	1.0
clust15	0.8794964	NA	0.12709834	0.9008794	0.6822541
clust16	NA	1.0	NA	0.91990143	NA
