	3a	3b	3c	3d	4a	4b	4c	4d	5a	5b	5c	5d
T cells	1280	1327	629	1355	871	2023	2684	2539	1062	1622	1642	2072
Macrophages	655	292	419	528	538	204	525	231	123	182	247	1666
B cells	265	210	111	90	51	162	356	286	227	799	372	80
Fibroblasts	181	189	24	124	55	16	23	37	131	146	127	29
Endothelial cell	127	104	8	481	144	15	9	82	50	170	71	23
Langerhans cells	108	78	62	23	17	11	5	21	18	47	38	107
Cancer cells	97	257	349	2	0	246	742	1017	894	217	1161	2
Mast cells	70	48	26	37	26	7	9	6	19	29	79	97
Alveolar cell	33	19	7	223	161	17	31	52	3	31	39	339
Granulocytes	32	12	4	174	34	11	23	19	11	29	7	30
Natural killer cells	30	29	15	181	362	44	76	87	48	201	74	318
Dendritic cells	29	14	6	73	41	14	30	27	11	44	23	126
Epithelial cells	11	3	0	116	20	0	2	10	13	71	51	19
Lymphatic EC	3	3	0	17	8	4	2	0	6	12	4	4
Basal cells	2	1	1	0	0	0	0	0	6	40	4	2
