ORA.Pval.Corrected.P0.05.cutoff_pos	B_CELLS	CANCER_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	FIBROBLASTS	MACROPHAGES	MAST_CELLS	T_CELLS
clust1	NS	NS	NS	NS	NS	NS	NS	NS
clust2	NS	NS	NS	NS	NS	NS	NS	NS
clust3	NS	NS	NS	NS	NS	NS	NS	NS
clust4	NS	NS	NS	NS	NS	NS	NS	NS
clust5	NS	NS	NS	NS	NS	NS	NS	NS
clust6	NS	NS	NS	NS	NS	NS	NS	NS
clust7	NS	NS	NS	NS	NS	NS	NS	NS
clust8	NS	NS	NS	NS	NS	NS	NS	NS
clust9	NS	NS	NS	NS	NS	NS	NS	NS
clust10	NS	NS	NS	NS	NS	NS	NS	NS
clust11	NS	NS	NS	NS	NS	NS	NS	NS
clust12	NS	NS	NS	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS	NS	NS
clust14	NS	NS	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS	NS	NS
clust16	NS	NS	NS	NS	NS	NS	NS	NS
clust17	NS	NS	NS	NS	NS	NS	NS	NS
clust18	NS	NS	NS	NS	NS	NS	NS	NS
clust19	NS	NS	NS	NS	NS	NS	NS	NS
clust20	NS	NS	NS	NS	NS	NS	NS	NS
clust21	NS	NS	NS	NS	NS	NS	NS	NS
clust22	NS	NS	NS	NS	NS	NS	NS	NS
clust23	NS	NS	NS	NS	NS	NS	NS	NS
