ORA.Pval.Corrected.cutoff_pos	B_CELLS	CANCER_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	FIBROBLASTS	MACROPHAGES	MAST_CELLS	T_CELLS
clust1	1	1	1	1	1	1	1	1
clust2	1	1	1	1	1	1	1	1
clust3	1	1	1	1	1	1	1	1
clust4	1	1	1	1	1	1	1	1
clust5	1	1	1	1	1	1	1	1
clust6	1	1	1	1	1	1	1	1
clust7	0.457142857142857	1	1	1	1	1	1	1
clust8	1	1	1	1	1	1	1	1
clust9	1	1	1	1	1	1	1	1
clust10	1	1	1	1	1	1	1	1
clust11	1	1	1	1	1	1	1	1
clust12	1	1	1	1	1	1	1	1
clust13	1	1	1	1	1	1	1	1
clust14	1	1	1	1	1	1	1	1
clust15	1	1	1	1	1	1	1	1
clust16	1	1	1	1	1	1	1	1
clust17	1	0.888888888888889	1	0.888888888888889	1	1	1	0.888888888888889
clust18	1	1	1	0.888888888888889	1	0.888888888888889	1	0.888888888888889
clust19	1	1	1	1	1	1	1	1
clust20	1	1	1	1	1	0.8	0.228571428571429	1
clust21	1	1	1	1	1	1	1	1
clust22	1	1	1	1	1	1	1	1
clust23	1	1	1	1	1	1	1	1
