gsm,altAnalyze,ascend,bigScale,cellranger,cidr,countClust,monocle,pcaReduce,phenograph,raceid,rca,sc3,scran,seurat,sincera,tscan,truth,category,x,cell,paper
GSM2243439,1,2,7,7,1,4,5,19,2,1,3,39,1,6,1,11,Neoplastic,Tumour,GSM2243439_1001000173.G8.csv,1001000173.G8,5
GSM2243440,3,7,6,4,2,8,7,2,5,52,49,39,1,11,2,11,Oligodendrocyte,Brain,GSM2243440_1001000173.D4.csv,1001000173.D4,3
GSM2243441,1,2,5,1,1,5,3,11,2,3,3,26,13,6,1,2,Neoplastic,Tumour,GSM2243441_1001000173.B4.csv,1001000173.B4,5
GSM2243442,1,2,5,6,2,1,2,4,8,1,50,34,5,5,1,2,Neoplastic,Tumour,GSM2243442_1001000173.A2.csv,1001000173.A2,5
GSM2243443,1,2,7,7,1,1,2,19,2,1,40,28,2,5,1,11,Neoplastic,Tumour,GSM2243443_1001000173.E2.csv,1001000173.E2,5
GSM2243444,1,2,7,6,2,1,2,19,8,1,27,34,2,5,1,11,Neoplastic,Tumour,GSM2243444_1001000173.F6.csv,1001000173.F6,5
GSM2243445,1,2,5,1,1,4,3,11,2,9,67,27,13,6,1,2,Neoplastic,Tumour,GSM2243445_1001000173.B12.csv,1001000173.B12,5
GSM2243446,1,2,4,11,2,1,18,22,8,2,2,18,5,5,3,16,OPC,Brain,GSM2243446_1001000173.D6.csv,1001000173.D6,2
GSM2243447,1,2,5,6,1,5,2,4,8,1,67,34,5,5,1,11,Neoplastic,Tumour,GSM2243447_1001000173.H1.csv,1001000173.H1,5
GSM2243448,1,2,5,8,1,4,5,8,2,9,67,27,13,6,1,2,Neoplastic,Tumour,GSM2243448_1001000173.E4.csv,1001000173.E4,5
GSM2243449,4,1,3,1,3,2,16,13,9,5,1,3,8,2,4,9,Immune cell,Immune,GSM2243449_1001000173.B6.csv,1001000173.B6,7
GSM2243450,1,2,5,6,2,1,2,4,8,1,2,34,5,5,1,2,Neoplastic,Tumour,GSM2243450_1001000173.C2.csv,1001000173.C2,5
GSM2243451,1,2,5,8,1,1,4,11,2,4,63,34,10,5,1,2,Neoplastic,Tumour,GSM2243451_1001000173.F4.csv,1001000173.F4,5
GSM2243452,1,2,5,6,1,1,2,4,8,1,2,34,5,5,1,2,Neoplastic,Tumour,GSM2243452_1001000173.E10.csv,1001000173.E10,5
GSM2243453,1,2,5,6,2,1,2,4,8,1,6,34,5,5,1,2,Neoplastic,Tumour,GSM2243453_1001000173.E6.csv,1001000173.E6,5
GSM2243454,1,2,7,7,1,1,5,19,2,1,0,28,1,6,1,11,Neoplastic,Tumour,GSM2243454_1001000173.C4.csv,1001000173.C4,5
GSM2243455,1,2,6,8,1,1,7,11,2,9,40,28,2,11,2,16,Oligodendrocyte,Brain,GSM2243455_1001000173.B1.csv,1001000173.B1,3
GSM2243456,1,2,7,6,1,1,2,19,8,1,25,34,2,5,1,11,Neoplastic,Tumour,GSM2243456_1001000173.B10.csv,1001000173.B10,5
GSM2243457,1,2,7,7,1,1,2,19,8,1,68,28,1,5,2,5,Neoplastic,Tumour,GSM2243457_1001000173.A7.csv,1001000173.A7,5
GSM2243458,1,2,5,6,2,1,2,4,8,2,6,34,5,5,1,2,Neoplastic,Tumour,GSM2243458_1001000173.B8.csv,1001000173.B8,5
GSM2243459,1,2,5,8,2,1,2,11,8,2,2,34,5,5,1,2,Neoplastic,Tumour,GSM2243459_1001000173.F9.csv,1001000173.F9,5
GSM2243460,1,2,5,7,1,5,5,19,2,21,73,28,1,6,1,5,Neoplastic,Tumour,GSM2243460_1001000173.G6.csv,1001000173.G6,5
GSM2243461,1,2,5,7,1,4,5,8,2,1,44,27,1,6,1,11,Neoplastic,Tumour,GSM2243461_1001000173.A9.csv,1001000173.A9,5
GSM2243462,1,2,5,8,2,1,4,4,2,4,18,26,5,5,1,11,Neoplastic,Tumour,GSM2243462_1001000173.D2.csv,1001000173.D2,5
GSM2243463,1,2,7,7,1,5,5,19,2,1,40,28,1,6,1,5,Neoplastic,Tumour,GSM2243463_1001000173.F2.csv,1001000173.F2,5
GSM2243464,1,2,5,8,1,1,3,8,2,9,67,27,2,6,1,2,Neoplastic,Tumour,GSM2243464_1001000173.H9.csv,1001000173.H9,5
GSM2243465,1,2,5,7,1,5,5,19,2,1,44,28,10,6,1,11,Neoplastic,Tumour,GSM2243465_1001000173.G1.csv,1001000173.G1,5
GSM2243466,1,2,5,8,1,5,3,11,2,4,3,26,5,6,1,2,Neoplastic,Tumour,GSM2243466_1001000173.B3.csv,1001000173.B3,5
GSM2243467,1,2,5,8,1,5,3,11,2,9,18,27,13,6,1,2,Neoplastic,Tumour,GSM2243467_1001000173.D7.csv,1001000173.D7,5
GSM2243468,1,2,5,6,2,1,2,4,8,2,50,34,5,5,1,2,Neoplastic,Tumour,GSM2243468_1001000173.A12.csv,1001000173.A12,5
GSM2243469,1,2,5,8,1,4,3,11,2,1,3,27,13,6,1,2,Neoplastic,Tumour,GSM2243469_1001000173.C1.csv,1001000173.C1,5
GSM2243470,1,2,5,6,2,1,2,4,8,1,68,34,5,5,1,11,Neoplastic,Tumour,GSM2243470_1001000173.H7.csv,1001000173.H7,5
GSM2243471,1,2,5,6,2,1,2,4,8,1,2,34,5,5,1,2,Neoplastic,Tumour,GSM2243471_1001000173.H5.csv,1001000173.H5,5
