method	class	precision	recall	f1_score	support	specificity	Cell Labels	category
cibersort	BCELL	0.19791666666666666	0.4634146341463415	0.2773722627737226	82	0.6188118811881188	BCELL	Immune
cibersort	MYELOID	0.0	0.0	0.0	32	0.8348017621145375	MYELOID	Immune
cibersort	STROMAL	0.19318181818181815	0.8095238095238095	0.3119266055045872	21	0.8473118279569892	STROMAL	Stromal
cibersort	TCELL	0.2442748091603053	0.9411764705882352	0.3878787878787879	34	0.7809734513274337	TCELL	Immune
cibersort	TUMOR	0.0	0.0	0.0	317	1.0	TUMOR	Tumour
cibersort	macro avg	0.12707465880175806	0.4428229828516773	0.19543553123141955	486	0.0		
cibersort	weighted avg	0.05882989374472269	0.17901234567901236	0.0874132984586839	486	0.0		
gsea	BCELL	0.09476309226932668	0.4634146341463415	0.15734989648033126	82	0.10148514851485148	BCELL	Immune
gsea	MYELOID	0.0	0.0	0.0	32	1.0	MYELOID	Immune
gsea	STROMAL	0.0	0.0	0.0	21	1.0	STROMAL	Stromal
gsea	TCELL	0.3764705882352941	0.9411764705882352	0.5378151260504201	34	0.8827433628318584	TCELL	Immune
gsea	TUMOR	0.0	0.0	0.0	317	1.0	TUMOR	Tumour
gsea	macro avg	0.09424673610092417	0.2809182209469153	0.13903300450615028	486	0.0		
gsea	weighted avg	0.042326283057787635	0.1440329218106996	0.0641736744796326	486	0.0		
gsva	BCELL	0.4418604651162791	0.4634146341463415	0.4523809523809523	82	0.8811881188118812	BCELL	Immune
gsva	MYELOID	0.0	0.0	0.0	32	0.6718061674008811	MYELOID	Immune
gsva	STROMAL	0.1440677966101695	0.8095238095238095	0.2446043165467626	21	0.7827956989247312	STROMAL	Stromal
gsva	TCELL	0.2406015037593985	0.9411764705882352	0.3832335329341317	34	0.7765486725663717	TCELL	Immune
gsva	TUMOR	0.0	0.0	0.0	317	1.0	TUMOR	Tumour
gsva	macro avg	0.1653059530971694	0.4428229828516773	0.21604376037236933	486	0.0		
gsva	weighted avg	0.09760994443655964	0.17901234567901236	0.11370754909975428	486	0.0		
metaneighbor	BCELL	0.2620689655172414	0.4634146341463415	0.3348017621145375	82	0.7351485148514851	BCELL	Immune
metaneighbor	MYELOID	0.0	0.0	0.0	32	1.0	MYELOID	Immune
metaneighbor	STROMAL	0.11428571428571427	0.7619047619047619	0.19875776397515527	21	0.7333333333333333	STROMAL	Stromal
metaneighbor	TCELL	0.15920398009950248	0.9411764705882352	0.2723404255319149	34	0.6261061946902655	TCELL	Immune
metaneighbor	TUMOR	0.0	0.0	0.0	317	1.0	TUMOR	Tumour
metaneighbor	macro avg	0.10711173198049163	0.4332991733278677	0.16117999032432154	486	0.0		
metaneighbor	weighted avg	0.06029339608188657	0.17695473251028807	0.08413010700608116	486	0.0		
ora	BCELL	0.09476309226932668	0.4634146341463415	0.15734989648033126	82	0.10148514851485148	BCELL	Immune
ora	MYELOID	0.0	0.0	0.0	32	1.0	MYELOID	Immune
ora	STROMAL	0.0	0.0	0.0	21	1.0	STROMAL	Stromal
ora	TCELL	0.3764705882352941	0.9411764705882352	0.5378151260504201	34	0.8827433628318584	TCELL	Immune
ora	TUMOR	0.0	0.0	0.0	317	1.0	TUMOR	Tumour
ora	macro avg	0.09424673610092417	0.2809182209469153	0.13903300450615028	486	0.0		
ora	weighted avg	0.042326283057787635	0.1440329218106996	0.0641736744796326	486	0.0		
adobo	BCELL	0.9743589743589745	0.4634146341463415	0.628099173553719	82	0.9975247524752476	BCELL	Immune
adobo	MYELOID	0.9130434782608696	0.65625	0.7636363636363634	32	0.9955947136563876	MYELOID	Immune
adobo	STROMAL	0.0	0.0	0.0	21	1.0	STROMAL	Stromal
adobo	TCELL	0.3764705882352941	0.9411764705882352	0.5378151260504201	34	0.8827433628318584	TCELL	Immune
adobo	TUMOR	0.0	0.0	0.0	317	1.0	TUMOR	Tumour
adobo	Unknown	0.0	0.0	0.0	0	0.30246913580246915		
adobo	macro avg	0.3773121734758564	0.3434735174557628	0.3215917772067504	486	0.0		
adobo	weighted avg	0.25085355391313524	0.18724279835390947	0.19388109085078775	486	0.0		
sccatch	BCELL	0.0	0.0	0.0	82	1.0	BCELL	Immune
sccatch	MYELOID	0.9130434782608696	0.65625	0.7636363636363634	32	0.9955947136563876	MYELOID	Immune
sccatch	STROMAL	0.0	0.0	0.0	21	1.0	STROMAL	Stromal
sccatch	TCELL	0.14798206278026907	0.9705882352941176	0.2568093385214008	34	0.5796460176991151	TCELL	Immune
sccatch	TUMOR	1.0	0.38485804416403785	0.5558086560364465	317	1.0	TUMOR	Tumour
sccatch	Unknown	0.0	0.0	0.0	0	0.7572016460905351		
sccatch	macro avg	0.3435042568401898	0.3352827132430259	0.26270905969903513	486	0.0		
sccatch	weighted avg	0.7227341181869896	0.3621399176954733	0.4307802985795161	486	0.0		
SVM	BCELL	0.9876543209876544	0.975609756097561	0.9815950920245398	82	0.9975247524752476	BCELL	Immune
SVM	MYELOID	0.9629629629629628	0.8125	0.8813559322033898	32	0.9977973568281938	MYELOID	Immune
SVM	STROMAL	0.8333333333333334	0.4761904761904762	0.6060606060606061	21	0.9956989247311828	STROMAL	Stromal
SVM	TCELL	0.8823529411764706	0.8823529411764706	0.8823529411764706	34	0.991150442477876	TCELL	Immune
SVM	TUMOR	0.9487951807228916	0.9936908517350158	0.9707241910631742	317	0.8994082840236687	TUMOR	Tumour
SVM	macro avg	0.9230197478366624	0.8280688050399047	0.8644177525056359	486	0.0		
SVM	weighted avg	0.9466472045781049	0.948559670781893	0.9447346268946908	486	0.0		
SVMrej	BCELL	1.0	0.8658536585365854	0.9281045751633988	82	1.0	BCELL	Immune
SVMrej	MYELOID	0.9523809523809524	0.625	0.7547169811320755	32	0.9977973568281938	MYELOID	Immune
SVMrej	STROMAL	0.9	0.42857142857142855	0.5806451612903225	21	0.9978494623655914	STROMAL	Stromal
SVMrej	TCELL	0.9473684210526316	0.5294117647058824	0.679245283018868	34	0.9977876106194692	TCELL	Immune
SVMrej	TUMOR	0.9841772151898734	0.9810725552050472	0.9826224328593997	317	0.970414201183432	TUMOR	Tumour
SVMrej	UNLABELED	0.0	0.0	0.0	0	0.8991769547325102		
SVMrej	macro avg	0.7973210981039096	0.5716515678364906	0.6542224055773441	486	0.0		
SVMrej	weighted avg	0.9785409341711312	0.8827160493827161	0.9198245221929898	486	0.0		
RF	BCELL	0.9518072289156626	0.9634146341463414	0.9575757575757576	82	0.99009900990099	BCELL	Immune
RF	MYELOID	0.9565217391304348	0.6875	0.8	32	0.9977973568281938	MYELOID	Immune
RF	STROMAL	0.8333333333333334	0.2380952380952381	0.3703703703703704	21	0.9978494623655914	STROMAL	Stromal
RF	TCELL	0.88	0.6470588235294118	0.7457627118644068	34	0.9933628318584072	TCELL	Immune
RF	TUMOR	0.9083094555873924	1.0	0.951951951951952	317	0.8106508875739645	TUMOR	Tumour
RF	macro avg	0.9059943513933646	0.7072137391541983	0.7651321583524974	486	0.0		
RF	weighted avg	0.9136028515318142	0.9156378600823044	0.9033409277184126	486	0.0		
LDA	BCELL	0.987012987012987	0.9268292682926829	0.9559748427672956	82	0.9975247524752476	BCELL	Immune
LDA	MYELOID	0.8571428571428571	0.75	0.7999999999999999	32	0.9911894273127754	MYELOID	Immune
