method	class	precision	recall	f1_score	support	specificity	Cell Labels	category
cibersort	GMP	0.4605543710021322	0.4816053511705686	0.4708446866485014	897.0	0.9759459973378968	GMP	Stem/Progenitor
cibersort	GMP_LIKE	0.5533650577838205	0.2675871137409599	0.3607356525592732	3042.0	0.96522153406384	GMP_LIKE	Tumour
cibersort	HSC_PROG	0.6070707070707071	0.7099822799763733	0.6545058535257283	3386.0	0.9161050304631476	HSC_PROG	Stem/Progenitor
cibersort	HSC_PROG_LIKE	0.9259046524985641	0.25587301587301586	0.400945156075115	6300.0	0.9917482249088466	HSC_PROG_LIKE	Tumour
cibersort	MYELOID	0.0	0.0	0.0	3806.0	1.0	MYELOID	Immune
cibersort	MYELOID_LIKE	0.3219272227447009	0.9884495779653488	0.4856753069577081	4502.0	0.4622798462509322	MYELOID_LIKE	Tumour
cibersort	macro avg	0.4781370018499875	0.4505828897877111	0.3954511092943876	21933.0	0.0		
cibersort	weighted avg	0.521338205363895	0.4428030821137099	0.3851879393719034	21933.0	0.0		
gsea	GMP	0.0	0.0	0.0	897.0	1.0	GMP	Stem/Progenitor
gsea	GMP_LIKE	0.2462686567164179	0.07593688362919132	0.11608040201005025	3042.0	0.9625747710549998	GMP_LIKE	Tumour
gsea	HSC_PROG	0.2843864509786397	0.9397519196692262	0.4366380789022298	3386.0	0.5682859761686526	HSC_PROG	Stem/Progenitor
gsea	HSC_PROG_LIKE	0.039232781168265035	0.028571428571428567	0.03306392358559882	6300.0	0.7180323674278769	HSC_PROG_LIKE	Tumour
gsea	MYELOID	0.5874961691694759	0.5036784025223332	0.5423680860093365	3806.0	0.9257461245655652	MYELOID	Immune
gsea	MYELOID_LIKE	0.9713554987212276	0.4218125277654376	0.5881988539569459	4502.0	0.9967873329126268	MYELOID_LIKE	Tumour
gsea	macro avg	0.35478992612567106	0.3282918603596028	0.2860582240773602	21933.0	0.0		
gsea	weighted avg	0.3906579662247335	0.3378014863447773	0.30785574305988694	21933.0	0.0		
gsva	GMP	0.25446670276123445	0.5239687848383501	0.34256559766763856	897.0	0.9345407872219051	GMP	Stem/Progenitor
gsva	GMP_LIKE	0.6340300696736341	0.5683760683760684	0.5994106430923903	3042.0	0.94717061034355	GMP_LIKE	Tumour
gsva	HSC_PROG	0.9515873015873016	0.7082102776137035	0.8120555367422959	3386.0	0.9934221167843856	HSC_PROG	Stem/Progenitor
gsva	HSC_PROG_LIKE	0.7704918032786885	0.8803174603174603	0.8217513705734183	6300.0	0.8943261050342225	HSC_PROG_LIKE	Tumour
gsva	MYELOID	0.644565599718607	0.9629532317393588	0.7722292456805732	3806.0	0.8885088541953992	MYELOID	Immune
gsva	MYELOID_LIKE	0.9713554987212276	0.4218125277654376	0.5881988539569459	4502.0	0.9967873329126268	MYELOID_LIKE	Tumour
gsva	macro avg	0.7044161626234491	0.6776063917750631	0.6560352079522104	21933.0	0.0		
gsva	weighted avg	0.7777963888171409	0.7161355035790817	0.7132867345548399	21933.0	0.0		
metaneighbor	GMP	0.4605543710021322	0.4816053511705686	0.4708446866485014	897.0	0.9759459973378968	GMP	Stem/Progenitor
metaneighbor	GMP_LIKE	0.6340300696736341	0.5683760683760684	0.5994106430923903	3042.0	0.94717061034355	GMP_LIKE	Tumour
metaneighbor	HSC_PROG	0.9515873015873016	0.7082102776137035	0.8120555367422959	3386.0	0.9934221167843856	HSC_PROG	Stem/Progenitor
metaneighbor	HSC_PROG_LIKE	0.7704918032786885	0.8803174603174603	0.8217513705734183	6300.0	0.8943261050342225	HSC_PROG_LIKE	Tumour
metaneighbor	MYELOID	0.5593631539044731	0.9692590646347872	0.7093548697240649	3806.0	0.8396866552656259	MYELOID	Immune
metaneighbor	MYELOID_LIKE	0.9713554987212276	0.4218125277654376	0.5881988539569459	4502.0	0.9967873329126268	MYELOID_LIKE	Tumour
metaneighbor	macro avg	0.7245636996945762	0.6715967916463376	0.6669359934562694	21933.0	0.0		
metaneighbor	weighted avg	0.7714397631682779	0.7154971960060184	0.7076225056725787	21933.0	0.0		
ora	GMP	0.4605543710021322	0.4816053511705686	0.4708446866485014	897.0	0.9759459973378968	GMP	Stem/Progenitor
ora	GMP_LIKE	0.5533650577838205	0.2675871137409599	0.3607356525592732	3042.0	0.96522153406384	GMP_LIKE	Tumour
ora	HSC_PROG	0.3171434451533237	0.9102185469580626	0.4703907203907203	3386.0	0.6422062867310077	HSC_PROG	Stem/Progenitor
ora	HSC_PROG_LIKE	0.0	0.0	0.0	6300.0	1.0	HSC_PROG_LIKE	Tumour
ora	MYELOID	0.5874961691694759	0.5036784025223332	0.5423680860093365	3806.0	0.9257461245655652	MYELOID	Immune
ora	MYELOID_LIKE	0.4719547608130827	0.6859173700577521	0.559167043911272	4502.0	0.8017899145201078	MYELOID_LIKE	Tumour
ora	macro avg	0.3984189673203058	0.47483446407494606	0.40058436491985056	21933.0	0.0		
ora	weighted avg	0.3433662624764497	0.4255231842429216	0.3507988640538037	21933.0	0.0		
adobo	GMP	0.0	0.0	0.0	897.0	1.0	GMP	Stem/Progenitor
adobo	GMP_LIKE	0.0	0.0	0.0	3042.0	1.0	GMP_LIKE	Tumour
adobo	HSC_PROG	0.0	0.0	0.0	3386.0	1.0	HSC_PROG	Stem/Progenitor
adobo	HSC_PROG_LIKE	0.0	0.0	0.0	6300.0	1.0	HSC_PROG_LIKE	Tumour
adobo	MYELOID	0.0	0.0	0.0	3806.0	1.0	MYELOID	Immune
adobo	MYELOID_LIKE	0.0	0.0	0.0	4502.0	1.0	MYELOID_LIKE	Tumour
adobo	Unknown	0.0	0.0	0.0	0.0	0.0		
adobo	macro avg	0.0	0.0	0.0	21933.0	0.0		
adobo	weighted avg	0.0	0.0	0.0	21933.0	0.0		
sccatch	GMP	0.0	0.0	0.0	897.0	1.0	GMP	Stem/Progenitor
sccatch	GMP_LIKE	0.0	0.0	0.0	3042.0	1.0	GMP_LIKE	Tumour
sccatch	HSC_PROG	0.0	0.0	0.0	3386.0	1.0	HSC_PROG	Stem/Progenitor
sccatch	HSC_PROG_LIKE	0.0	0.0	0.0	6300.0	1.0	HSC_PROG_LIKE	Tumour
sccatch	MYELOID	0.0	0.0	0.0	3806.0	1.0	MYELOID	Immune
sccatch	MYELOID_LIKE	0.0	0.0	0.0	4502.0	1.0	MYELOID_LIKE	Tumour
sccatch	Unknown	0.0	0.0	0.0	0.0	0.0		
sccatch	macro avg	0.0	0.0	0.0	21933.0	0.0		
sccatch	weighted avg	0.0	0.0	0.0	21933.0	0.0		
SVM	GMP	0.7791164658634538	0.6488294314381271	0.7080291970802921	897.0	0.9921563034797489	GMP	Stem/Progenitor
SVM	GMP_LIKE	0.7499191200258816	0.7619986850756082	0.7559106473177889	3042.0	0.9590810438833308	GMP_LIKE	Tumour
SVM	HSC_PROG	0.8953594176524113	0.8718251624335499	0.8834355828220858	3386.0	0.9813986089394512	HSC_PROG	Stem/Progenitor
SVM	HSC_PROG_LIKE	0.8664515137544183	0.8949206349206349	0.8804560006246582	6300.0	0.94441246082006	HSC_PROG_LIKE	Tumour
SVM	MYELOID	0.8940834653988379	0.8893851812926957	0.8917281348788197	3806.0	0.9778783030837976	MYELOID	Immune
SVM	MYELOID_LIKE	0.8632630410654828	0.8638382940915149	0.8635505717775064	4502.0	0.9646606620388962	MYELOID_LIKE	Tumour
SVM	macro avg	0.8413655039600809	0.8217995648753549	0.8305183557501917	21933.0	0.0		
SVM	weighted avg	0.8553205142026594	0.8555145214972872	0.8550763699349742	21933.0	0.0		
SVMrej	GMP	0.9744318181818182	0.3823857302118172	0.5492393915132106	897.0	0.9995721620079864	GMP	Stem/Progenitor
SVMrej	GMP_LIKE	0.8897903989181879	0.4326101249178173	0.5821720858217211	3042.0	0.9913715525911809	GMP_LIKE	Tumour
SVMrej	HSC_PROG	0.9838461538461538	0.7554636739515652	0.854660875375877	3386.0	0.9977354828274114	HSC_PROG	Stem/Progenitor
SVMrej	HSC_PROG_LIKE	0.944006468566808	0.7412698412698413	0.8304436738685872	6300.0	0.9822810720910894	HSC_PROG_LIKE	Tumour
SVMrej	MYELOID	0.9655505473277528	0.7879663688912244	0.8677662037037038	3806.0	0.9940972030672478	MYELOID	Immune
SVMrej	MYELOID_LIKE	0.9568096746328822	0.7381163927143491	0.8333542319749215	4502.0	0.9913946417302508	MYELOID_LIKE	Tumour
SVMrej	UNLABELED	0.0	0.0	0.0	0.0	0.7275338530980714		
SVMrej	macro avg	0.8163478659248005	0.5482588759938021	0.6453766374654315	21933.0	0.0		
SVMrej	weighted avg	0.950248215093186	0.6934299913372544	0.7953217075775881	21933.0	0.0		
RF	GMP	0.9144981412639404	0.274247491638796	0.4219554030874786	897.0	0.9989066362426317	GMP	Stem/Progenitor
RF	GMP_LIKE	0.7375296912114014	0.6124260355029586	0.6691810344827587	3042.0	0.9649039225027792	GMP_LIKE	Tumour
RF	HSC_PROG	0.9076553381393752	0.7808623744831659	0.839498333068741	3386.0	0.9854963066803256	HSC_PROG	Stem/Progenitor
RF	HSC_PROG_LIKE	0.7415426251691475	0.9568253968253968	0.8355395384295516	6300.0	0.8656048103371075	HSC_PROG_LIKE	Tumour
RF	MYELOID	0.8390357698289269	0.8504992117708879	0.8447286012526096	3806.0	0.9657417112594472	MYELOID	Immune
RF	MYELOID_LIKE	0.8430863614912695	0.7936472678809418	0.8176201372997712	4502.0	0.9618495783374448	MYELOID_LIKE	Tumour
RF	macro avg	0.8305579878506769	0.7114179630170244	0.7380871746034852	21933.0	0.0		
RF	weighted avg	0.8114646699624758	0.8020334655541878	0.7940795178878381	21933.0	0.0		
LDA	GMP	0.2705314009661836	0.3745819397993311	0.3141654978962132	897.0	0.9569309754706218	GMP	Stem/Progenitor
LDA	GMP_LIKE	0.4135673906575424	0.4569362261669954	0.4341714821177573	3042.0	0.8956646021915198	GMP_LIKE	Tumour
LDA	HSC_PROG	0.6097887135597754	0.6733608978145305	0.6400000000000001	3386.0	0.9213349867903164	HSC_PROG	Stem/Progenitor
LDA	HSC_PROG_LIKE	0.6832726575972409	0.566031746031746	0.6191509679659692	6300.0	0.8942621377854538	HSC_PROG_LIKE	Tumour
LDA	MYELOID	0.6694873071179691	0.7067787703625854	0.6876278118609406	3806.0	0.926739118442103	MYELOID	Immune
LDA	MYELOID_LIKE	0.6729444189251264	0.6508218569524655	0.6616982836495031	4502.0	0.9183064654925134	MYELOID_LIKE	Tumour
LDA	macro avg	0.5532653148039729	0.5714185728546091	0.5594690072483973	21933.0	0.0		
LDA	weighted avg	0.6131293238916171	0.6014681074180459	0.6048568058785178	21933.0	0.0		
LDArej	GMP	0.2725040916530278	0.3712374581939799	0.3142991977347805	897.0	0.9577391138999809	GMP	Stem/Progenitor
LDArej	GMP_LIKE	0.4150943396226415	0.4483892176199869	0.4310998735777497	3042.0	0.8982584299401831	GMP_LIKE	Tumour
