method	class	precision	recall	f1_score	support	specificity	Cell Labels	category
cibersort	ASTOCYTE	1.0	0.8863636363636364	0.9397590361445785	88	1.0	ASTOCYTE	Brain
cibersort	IMMUNE	0.6089680184635674	1.0	0.756967213114754	1847	0.31917336394948337	IMMUNE	Immune
cibersort	NEOPLASTIC	0.0	0.0	0.0	1091	1.0	NEOPLASTIC	Tumour
cibersort	NEURON	0.0	0.0	0.0	21	1.0	NEURON	Brain
cibersort	OLIGODENDROCYTE	1.0	0.9529411764705882	0.9759036144578312	85	1.0	OLIGODENDROCYTE	Brain
cibersort	OPC	1.0	0.9778325123152708	0.9887920298879204	406	1.0	OPC	Brain
cibersort	VASCULAR	0.0	0.0	0.0	51	1.0	VASCULAR	Vascular
cibersort	macro avg	0.5155668597805096	0.5453053321642136	0.5230602705150119	3589	0.0		
cibersort	weighted avg	0.4747182864592391	0.6695458344942881	0.5475671800409821	3589	0.0		
gsea	ASTOCYTE	1.0	0.8863636363636364	0.9397590361445785	88	1.0	ASTOCYTE	Brain
gsea	IMMUNE	0.9978319783197832	0.9967514889009204	0.9972914409534128	1847	0.9977037887485648	IMMUNE	Immune
gsea	NEOPLASTIC	0.972296693476318	0.9972502291475709	0.9846153846153846	1091	0.9875900720576462	NEOPLASTIC	Tumour
gsea	NEURON	1.0	0.9523809523809524	0.975609756097561	21	1.0	NEURON	Brain
gsea	OLIGODENDROCYTE	1.0	0.9529411764705882	0.9759036144578312	85	1.0	OLIGODENDROCYTE	Brain
gsea	OPC	1.0	0.9778325123152708	0.9887920298879204	406	1.0	OPC	Brain
gsea	VASCULAR	1.0	0.9607843137254902	0.98	51	1.0	VASCULAR	Vascular
gsea	macro avg	0.995732667399443	0.960614901329204	0.977424466022384	3589	0.0		
gsea	weighted avg	0.9904629023514356	0.9902479799387016	0.9901868619332742	3589	0.0		
gsva	ASTOCYTE	0.16443594646271512	0.9772727272727272	0.28150572831423903	88	0.8751785204227364	ASTOCYTE	Brain
gsva	IMMUNE	0.8737541528239202	0.9967514889009204	0.9312089023773392	1847	0.8473019517795637	IMMUNE	Immune
gsva	NEOPLASTIC	0.0	0.0	0.0	1091	1.0	NEOPLASTIC	Tumour
gsva	NEURON	0.009523809523809523	0.047619047619047616	0.015873015873015876	21	0.9708520179372198	NEURON	Brain
gsva	OLIGODENDROCYTE	0.801980198019802	0.9529411764705882	0.8709677419354839	85	0.9942922374429224	OLIGODENDROCYTE	Brain
gsva	OPC	0.5752840909090909	0.9975369458128078	0.7297297297297298	406	0.9060634621426328	OPC	Brain
gsva	VASCULAR	1.0	0.9607843137254902	0.98	51	1.0	VASCULAR	Vascular
gsva	macro avg	0.4892825996770482	0.7047008142573689	0.5441835883185441	3589	0.0		
gsva	weighted avg	0.5520278465576132	0.6862635831707997	0.6033243824047697	3589	0.0		
metaneighbor	ASTOCYTE	0.08269230769230769	0.9772727272727272	0.1524822695035461	88	0.7275064267352185	ASTOCYTE	Brain
metaneighbor	IMMUNE	0.7920353982300885	0.0969139144558744	0.17269657501205984	1847	0.9730195177956372	IMMUNE	Immune
metaneighbor	NEOPLASTIC	0.0	0.0	0.0	1091	1.0	NEOPLASTIC	Tumour
metaneighbor	NEURON	0.006493506493506494	0.047619047619047616	0.01142857142857143	21	0.9571188340807176	NEURON	Brain
metaneighbor	OLIGODENDROCYTE	0.0676126878130217	0.9529411764705882	0.12626656274356976	85	0.6812214611872146	OLIGODENDROCYTE	Brain
metaneighbor	OPC	0.0	0.0	0.0	406	1.0	OPC	Brain
metaneighbor	VASCULAR	0.0	0.0	0.0	51	0.7255511588468061	VASCULAR	Vascular
metaneighbor	macro avg	0.13554770003270347	0.2963924094026054	0.0661248540982496	3589	0.0		
metaneighbor	weighted avg	0.4112704780463548	0.09668431317915854	0.09567056884836722	3589	0.0		
ora	ASTOCYTE	1.0	0.8863636363636364	0.9397590361445785	88	1.0	ASTOCYTE	Brain
ora	IMMUNE	0.9978319783197832	0.9967514889009204	0.9972914409534128	1847	0.9977037887485648	IMMUNE	Immune
ora	NEOPLASTIC	0.972296693476318	0.9972502291475709	0.9846153846153846	1091	0.9875900720576462	NEOPLASTIC	Tumour
ora	NEURON	1.0	0.9523809523809524	0.975609756097561	21	1.0	NEURON	Brain
ora	OLIGODENDROCYTE	1.0	0.9529411764705882	0.9759036144578312	85	1.0	OLIGODENDROCYTE	Brain
