method	class	precision	recall	f1_score	support	specificity	Cell Labels	category
cibersort	B.CELL	0.0	0.0	0.0	818	1.0	B.CELL	Immune
cibersort	CAF	0.06470165348670022	0.8490566037735849	0.12024048096192386	106	0.8079137752842167	CAF	Fibroblast
cibersort	ENDO.	0.967032967032967	0.8461538461538461	0.9025641025641026	104	0.9995571955719558	ENDO.	Endothelial
cibersort	MACROPHAGE	0.9483568075117372	0.961904761904762	0.9550827423167848	420	0.9965938999845178	MACROPHAGE	Immune
cibersort	MAL	0.9619289340101524	0.18780971258671952	0.3142620232172472	2018	0.9969142151820614	MAL	Tumour
cibersort	NK	0.0	0.0	0.0	92	1.0	NK	Immune
cibersort	T.CD4	0.23040466642362376	0.7383177570093458	0.351208669074743	856	0.6495102108583762	T.CD4	Immune
cibersort	T.CD8	0.7300981461286805	0.7612279704377487	0.7453381575285276	1759	0.9033203125	T.CD8	Immune
cibersort	T.CELL	0.0	0.0	0.0	706	1.0	T.CELL	Immune
cibersort	macro avg	0.43361368606598455	0.4827189613184452	0.37652179729592544	6879	0.0		
cibersort	weighted avg	0.5710686561022543	0.4262247419683093	0.400292500667938	6879	0.0		
gsea	B.CELL	0.6348818255908721	0.952322738386308	0.7618581907090464	818	0.9260848044877082	B.CELL	Immune
gsea	CAF	0.3853658536585366	0.7452830188679245	0.5080385852090031	106	0.9813967222796396	CAF	Fibroblast
gsea	ENDO.	0.07643312101910828	0.9230769230769232	0.1411764705882353	104	0.8287822878228782	ENDO.	Endothelial
gsea	MACROPHAGE	0.7372262773722628	0.961904761904762	0.8347107438016529	420	0.9777055271713888	MACROPHAGE	Immune
gsea	MAL	0.0	0.0	0.0	2018	1.0	MAL	Tumour
gsea	NK	0.0	0.0	0.0	92	0.965080300574628	NK	Immune
gsea	T.CD4	0.3975826972010178	0.7301401869158879	0.514827018121911	856	0.8427693840278929	T.CD4	Immune
gsea	T.CD8	0.7300981461286805	0.7612279704377487	0.7453381575285276	1759	0.9033203125	T.CD8	Immune
gsea	T.CELL	0.0	0.0	0.0	706	1.0	T.CELL	Immune
gsea	macro avg	0.3290653245522753	0.5637728443988393	0.3895499073287085	6879	0.0		
gsea	weighted avg	0.3637650272929054	0.4829190289286234	0.40617163860663774	6879	0.0		
gsva	B.CELL	0.9351740696278512	0.952322738386308	0.9436705027256208	818	0.9910905791123577	B.CELL	Immune
gsva	CAF	0.09391675560298826	0.8301886792452831	0.16874400767018216	106	0.8746493429794774	CAF	Fibroblast
gsva	ENDO.	0.23848238482384826	0.8461538461538461	0.3720930232558139	104	0.9585239852398524	ENDO.	Endothelial
gsva	MACROPHAGE	0.4939024390243902	0.9642857142857144	0.6532258064516129	420	0.9357485678897662	MACROPHAGE	Immune
gsva	MAL	0.980544747081712	0.2497522299306244	0.3981042654028436	2018	0.9979428101213742	MAL	Tumour
gsva	NK	0.0	0.0	0.0	92	1.0	NK	Immune
gsva	T.CD4	0.3975826972010178	0.7301401869158879	0.514827018121911	856	0.8427693840278929	T.CD4	Immune
gsva	T.CD8	0.7300981461286805	0.7612279704377487	0.7453381575285276	1759	0.9033203125	T.CD8	Immune
gsva	T.CELL	0.0	0.0	0.0	706	1.0	T.CELL	Immune
gsva	macro avg	0.429966804387832	0.5926745961506014	0.421778086795168	6879	0.0		
gsva	weighted avg	0.6702255393104722	0.5564762320104666	0.5317601400434444	6879	0.0		
metaneighbor	B.CELL	0.9351740696278512	0.952322738386308	0.9436705027256208	818	0.9910905791123577	B.CELL	Immune
metaneighbor	CAF	0.06359189378057302	0.8584905660377359	0.11841249186727387	106	0.8021556178945815	CAF	Fibroblast
metaneighbor	ENDO.	0.4131455399061033	0.8461538461538461	0.5552050473186121	104	0.981549815498155	ENDO.	Endothelial
metaneighbor	MACROPHAGE	0.4939024390243902	0.9642857142857144	0.6532258064516129	420	0.9357485678897662	MACROPHAGE	Immune
metaneighbor	MAL	0.0	0.0	0.0	2018	1.0	MAL	Tumour
metaneighbor	NK	0.0	0.0	0.0	92	0.974068071312804	NK	Immune
metaneighbor	T.CD4	0.0	0.0	0.0	856	1.0	T.CD4	Immune
metaneighbor	T.CD8	0.5137991779213154	0.9948834565093804	0.6776379477250726	1759	0.6765625	T.CD8	Immune
