clust1	STELLATE_CELL
clust2	MACROPHAGE
clust3	ENDOTHELIAL_CELL
clust4	DUCTAL_CELL_TYPE_2
clust5	DUCTAL_CELL_TYPE_1
clust6	DUCTAL_CELL_TYPE_2
clust7	ENDOTHELIAL_CELL
clust8	FIBROBLAST
clust9	DUCTAL_CELL_TYPE_1
clust10	T_CELL
clust11	DUCTAL_CELL_TYPE_1
clust12	FIBROBLAST
clust13	B_CELL
clust14	ACINAR_CELL
clust15	DUCTAL_CELL_TYPE_2
clust16	DUCTAL_CELL_TYPE_2
clust17	FIBROBLAST
clust18	B_CELL
clust19	T_CELL
clust20	DUCTAL_CELL_TYPE_2
clust21	ENDOTHELIAL_CELL
clust22	ENDOCRINE_CELL
clust23	MACROPHAGE
clust24	STELLATE_CELL
clust25	STELLATE_CELL
clust26	T_CELL
clust27	ENDOTHELIAL_CELL
clust28	MACROPHAGE
clust29	ENDOTHELIAL_CELL
clust30	ENDOTHELIAL_CELL
clust31	ENDOCRINE_CELL
clust32	STELLATE_CELL
clust33	STELLATE_CELL
