ENRICHMENT	BCELL	TCELL	STROMAL
clust1	0.127628510179128	0.873687160505779	0.11818650236704
clust2	-0.340139347885985	-0.692861304417137	-0.322307459649824
clust3	-0.462147738472471	-0.549816087175053	0.905661414941235
clust4	0.4761984574581	0.419474714719099	0.589753220490905
clust5	-0.487966721403845	-0.677132189243805	-0.490582639061113
clust6	0.164089242165881	-0.218212822135068	0.163592740856588
clust7	0.766361679136657	0.0554265497386659	-0.0591712722371559
clust8	-0.0924771240326553	0.590005225666225	-0.330624147107797
clust9	-0.277081146148411	0.413899969071959	0.166670580064487
clust10	-0.387670966616451	-0.451946040756992	-0.567626275124625
