PVALUES	clust1	clust2	clust3	clust4	clust5	clust6	clust7	clust8	clust9	clust10	clust11	clust12	clust13	clust14	clust15	clust16	clust17	clust18	clust19	clust20	clust21	clust22	clust23	clust24	clust25	clust26	clust27	clust28	clust29	clust30	clust31	clust32	clust33
ACINAR_CELL	0.285988480199455	0.376658639249595	0.333017050386046	0.381227864801271	0.20776674412232	0.339525079250577	0.223259363430771	0.485353487711101	0.0816706743711099	0.310193007211553	0.113027288338266	0.29729724851685	0.333517323690591	0.0253413712831397	0.401480280448163	0.450554472317989	0.257623048693377	0.297082962864253	0.442874340250305	0.283209429842895	0.124593015104369	0.141491845352284	0.431907254237729	0.156872208534882	0.2090893875401	0.25349179541725	0.200242182363918	0.277517042064615	0.493260009539882	0.361814257720372	0.103925737620256	0.169741884353429	0.228507773093929
B_CELL	0.285439226133124	0.227164231158163	0.292135391600941	0.323758009212395	0.288774494949972	0.256093763563278	0.187491411545243	0.196527232596588	0.300075738639273	0.0576057003605115	0.323116892110429	0.223478590367022	0.0298036219140884	0.227145239974047	0.249350185023917	0.404514743796145	0.403775550914091	0.0242626874966628	0.194010536139109	0.159933875356727	0.190000644986909	0.261677097614148	0.156386670019213	0.322540651405508	0.427793373751816	0.0648092085273272	0.295476971671324	0.139808393495277	0.191751854831154	0.361151192622091	0.258754221648361	0.424062940312125	0.196285743015138
DUCTAL_CELL_TYPE_1	0.289384294192157	0.239052147509548	0.212421494345358	0.255512742923891	0.0110189047176837	0.249616419451082	0.355056024854402	0.315830842040787	0.0240306515877939	0.224976332447804	0.0422637468231449	0.246782145180499	0.23234818586443	0.143118881753776	0.203230571967509	0.21614149649048	0.144276957324741	0.270465593019966	0.1230277435092	0.391578241059053	0.0595132816779352	0.182247012077729	0.254457424355797	0.116175023361776	0.105643933289265	0.253506356292648	0.104911080383843	0.174610016625866	0.270081822352848	0.0884078447505908	0.134531730493833	0.235486080162782	0.0692987557389513
DUCTAL_CELL_TYPE_2	0.24257614569856	0.364443524993994	0.311092333239957	0.00601767140041891	0.416168373571526	0.00649616659051043	0.202754180412086	0.193902534114617	0.440127636257213	0.27480678789536	0.155409417825894	0.315161085613597	0.23572346517165	0.462155328004565	0.0194791782561962	0.00595862692052697	0.289556321726294	0.314247328910503	0.24391948616589	0.0122827346863445	0.351166152540336	0.48621230075745	0.438964453263265	0.105782959875742	0.118884845223613	0.362513620115733	0.135243823982845	0.256502504279127	0.15479657788532	0.15945630156277	0.367772822573682	0.211960714344594	0.450248300026317
ENDOCRINE_CELL	0.493726382059091	0.351048274807871	0.331436436594856	0.480591108337485	0.268091340337102	0.439810677967712	0.46093130019013	0.37763252486246	0.291785933411833	0.498646748394921	0.330154179540078	0.447476264979654	0.483176489590792	0.153808587926149	0.255688039037744	0.342905407857696	0.468349674433518	0.355481163288712	0.142470728026287	0.199589849861383	0.425484594135676	0.0192509426743883	0.3117371757859	0.40344863514104	0.181162487989506	0.373561058946361	0.314091426031623	0.435947730199854	0.374744796046979	0.135824478635871	0.0324008202395536	0.306262869220542	0.447420597374176
ENDOTHELIAL_CELL	0.494010488631283	0.276857139417121	0.00455032579817954	0.310586155313854	0.284809497075618	0.39032314696347	0.00882554257289773	0.481963777427701	0.253420342399068	0.241243766488482	0.201689082811355	0.444317383500701	0.234395965265691	0.258450017399694	0.130071734209908	0.244539346202889	0.179742956452131	0.249942228781691	0.100872012158808	0.389908573428365	0.0890941057469218	0.292185037699516	0.238575783986853	0.417327756472792	0.468546172582933	0.263973647453578	0.0344499453733715	0.312264716793202	0.0470060915753497	0.0626149915894788	0.337199161241143	0.334569200275426	0.377470304931774
FIBROBLAST	0.075820346182668	0.286121539305017	0.405151345177905	0.226762053793058	0.273921546906106	0.252393418880198	0.410404791828446	0.0231904797793237	0.252484998720736	0.261338306575885	0.206132208563244	0.0111242986714741	0.264443658578815	0.334895372972347	0.254466741496259	0.310285215358426	0.0107851738412551	0.22466731511282	0.323662968114657	0.179777905351047	0.25436872042027	0.252046072632739	0.223965826883115	0.0983555403208687	0.157475949444305	0.228830060474084	0.409094863654045	0.279078283727293	0.200429626892163	0.44687407319263	0.296762015094526	0.0831934277322595	0.418864897752735
MACROPHAGE	0.276734283801067	0.00857776177752975	0.388528340580867	0.376837670374794	0.197923117776864	0.373506713472297	0.274674208248958	0.275806041516433	0.19652008410307	0.369585060597847	0.218825399385474	0.439786118651606	0.358011329178367	0.213419377465959	0.392123007128166	0.439501183498225	0.372544005163639	0.275706295314415	0.340771446605197	0.428458386280931	0.170231683142684	0.194356365643118	0.0174604337297709	0.39341393440639	0.0852004006807227	0.235462982772144	0.430217653048916	0.0453951093494692	0.260124600960265	0.0733455633191351	0.181466378788377	0.358029485816481	0.0774916343758502
STELLATE_CELL	0.0146369982453376	0.188181520294231	0.285297930327411	0.188382410648045	0.287635831859515	0.223136841639101	0.331794406444799	0.0776651394471759	0.271842201995129	0.246379579562975	0.190099426693509	0.0982541359175421	0.244727361616122	0.272939957018244	0.226125606246124	0.194311886345713	0.178245661138237	0.258600100328281	0.0791054194636005	0.494182604794789	0.35344465535623	0.259417834793946	0.156330685089693	0.1016701130963	0.105888613475623	0.226851214443806	0.450783981162228	0.212921615462227	0.058859308541923	0.457051088886095	0.289193806809118	0.0192057691403753	0.0863094660502647
T_CELL	0.262207640347271	0.253755734183786	0.334764597069	0.300380035324002	0.212357672158921	0.230598885636914	0.226268646413002	0.177838844519295	0.225556176357442	0.0247038795200017	0.267509661140726	0.243381919987753	0.0507983537883794	0.180253000203506	0.192801570904839	0.282055872955261	0.486124768504589	0.0656359244191855	0.130318628804282	0.172645362710696	0.159800627746358	0.256226430686466	0.201213600099098	0.124883716930378	0.395225685025547	0.0295300474862175	0.10476104686408	0.0748379572853242	0.274305658475722	0.313478195219946	0.209831908325942	0.365332518050116	0.112881944860886
