MetaNeighborUS	ENDO.	CAF	B.CELL	T.CD4	T.CD8	MACROPHAGE	MAL	NK	T.CELL
clust1	0.15625	0.0625	0.4375	0.6875	0.96875	0.3125	0.28125	0.875	0.90625
clust2	0.0625	0.1875	0.53125	0.875	0.90625	0.21875	0.1875	0.71875	0.84375
clust3	0.34375	0.21875	1	0.78125	0.34375	0.625	0.09375	0.5	0.5
clust4	0.1875	0.3125	0.625	0.8125	0.875	0.3125	0.03125	0.65625	0.8125
clust5	0.03125	0.15625	0.21875	0.71875	0.9375	0.34375	0.5	0.84375	0.875
clust6	0.75	0.8125	0.65625	0.46875	0.125	0.53125	0.25	0.34375	0.21875
clust7	0.3125	0.03125	0.84375	0.5	0.65625	1	0.1875	0.65625	0.59375
clust8	0.84375	0.59375	0.125	0.34375	0.25	0.875	0.34375	0.53125	0.375
clust9	0.6875	0.75	0.28125	0.59375	0.5	0.6875	0	0.15625	0.5625
clust10	0.71875	0.9375	0	0.4375	0.46875	0.59375	0.3125	0.625	0.25
clust11	0	0.0625	0.84375	0.78125	1	0.125	0.65625	0.625	0.9375
clust12	0.59375	0.78125	0.25	0.375	0.15625	0.65625	0.40625	0.875	0.34375
clust13	0.8125	0.90625	0.21875	0.21875	0.0625	0.78125	0.53125	0.625	0.46875
clust14	0.84375	0.96875	0.03125	0.3125	0.375	0.75	0.5625	0.125	0.59375
clust15	0.96875	0.75	0.875	0.1875	0.03125	0.78125	0.46875	0.375	0.125
clust16	1	0.78125	0.1875	0.5625	0.09375	0.5625	0.6875	0.28125	0.0625
clust17	0.875	1	0.625	0.40625	0	0.59375	0.6875	0.0625	0.15625
