MetaNeighborUS	ACINAR_CELL	B_CELL	DUCTAL_CELL_TYPE_1	DUCTAL_CELL_TYPE_2	ENDOCRINE_CELL	ENDOTHELIAL_CELL	FIBROBLAST	MACROPHAGE	STELLATE_CELL	T_CELL
clust1	0.314236111111111	0.371527777777778	0.440972222222222	0.180555555555556	0.25	0.779513888888889	0.90625	0.307291666666667	0.913194444444444	0.458333333333333
clust2	0.512152777777778	0.850694444444444	0.409722222222222	0.552083333333333	0.15625	0.149305555555556	0.369791666666667	0.984375	0.173611111111111	0.763888888888889
clust3	0.149305555555556	0.543402777777778	0.229166666666667	0.220486111111111	0.015625	1	0.717013888888889	0.425347222222222	0.803819444444444	0.645833333333333
clust4	0.621527777777778	0.567708333333333	0.772569444444444	0.96875	0.432291666666667	0.0868055555555556	0.015625	0.440972222222222	0.126736111111111	0.654513888888889
clust5	0.770833333333333	0.402777777777778	0.984375	0.850694444444444	0.826388888888889	0.392361111111111	0.227430555555556	0.03125	0.472222222222222	0.229166666666667
clust6	0.637152777777778	0.763888888888889	0.881944444444444	1	0.307291666666667	0.173611111111111	0	0.409722222222222	0.0555555555555556	0.677083333333333
clust7	0.835069444444444	0.465277777777778	0.630208333333333	0.078125	0.258680555555556	0.984375	0.463541666666667	0.204861111111111	0.732638888888889	0.394097222222222
clust8	0.661458333333333	0.182291666666667	0.543402777777778	0.09375	0.368055555555556	0.748263888888889	0.984375	0.282986111111111	0.835069444444444	0.300347222222222
clust9	0.913194444444444	0.449652777777778	1	0.810763888888889	0.786458333333333	0.361111111111111	0.149305555555556	0.046875	0.385416666666667	0.269097222222222
clust10	0.164930555555556	0.842013888888889	0.331597222222222	0.645833333333333	0.668402777777778	0.298611111111111	0.109375	0.890625	0.260416666666667	0.897569444444444
clust11	0.795138888888889	0.434027777777778	0.850694444444444	0.890625	0.708333333333333	0.078125	0.133680555555556	0.236111111111111	0.322916666666667	0.315972222222222
clust12	0.03125	0.425347222222222	0.322916666666667	0.267361111111111	0.289930555555556	0.732638888888889	1	0.574652777777778	0.866319444444444	0.614583333333333
clust13	0.267361111111111	0.944444444444444	0.503472222222222	0.598958333333333	0.684027777777778	0.164930555555556	0.0625	0.953125	0.307291666666667	0.888888888888889
clust14	0.984375	0.324652777777778	0.723958333333333	0.763888888888889	0.913194444444444	0.289930555555556	0.376736111111111	0.109375	0.369791666666667	0.253472222222222
clust15	0.416666666666667	0.496527777777778	0.819444444444444	0.953125	0.180555555555556	0	0.748263888888889	0.661458333333333	0.298611111111111	0.362847222222222
clust16	0.503472222222222	0.701388888888889	0.803819444444444	0.984375	0.149305555555556	0.015625	0.307291666666667	0.543402777777778	0.142361111111111	0.583333333333333
clust17	0.046875	0.229166666666667	0.251736111111111	0.576388888888889	0.637152777777778	0.274305555555556	0.9375	0.614583333333333	0.819444444444444	0.331597222222222
clust18	0.282986111111111	0.928819444444444	0.527777777777778	0.567708333333333	0.519097222222222	0.196180555555556	0.03125	0.90625	0.291666666666667	0.873263888888889
clust19	0.432291666666667	0.527777777777778	0.314236111111111	0.84375	0.810763888888889	0.15625	0.645833333333333	0.803819444444444	0.227430555555556	0.409722222222222
clust20	0.189236111111111	0.362847222222222	0.701388888888889	0.9375	0.078125	0.102430555555556	0.819444444444444	0.416666666666667	0.559027777777778	0.552083333333333
clust21	0.842013888888889	0.253472222222222	0.897569444444444	0.630208333333333	0.439236111111111	0.921875	0.102430555555556	0	0.574652777777778	0.182291666666667
clust22	0.763888888888889	0.331597222222222	0.788194444444444	0.661458333333333	0.984375	0.376736111111111	0.21875	0.211805555555556	0.401041666666667	0.512152777777778
clust23	0.574652777777778	0.866319444444444	0.456597222222222	0.536458333333333	0.109375	0.236111111111111	0.180555555555556	0.96875	0.213541666666667	0.810763888888889
clust24	0.0711805555555556	0.574652777777778	0.213541666666667	0.046875	0.298611111111111	0.534722222222222	0.96875	0.677083333333333	0.881944444444444	0.795138888888889
clust25	0.173611111111111	0.692708333333333	0.182291666666667	0.015625	0.102430555555556	0.550347222222222	0.921875	0.881944444444444	0.842013888888889	0.605902777777778
clust26	0.180555555555556	0.826388888888889	0.402777777777778	0.583333333333333	0.503472222222222	0.314236111111111	0.15625	0.875	0.276041666666667	0.881944444444444
clust27	0.354166666666667	0.732638888888889	0.142361111111111	0.118055555555556	0.0625	0.9375	0.503472222222222	0.590277777777778	0.661458333333333	0.803819444444444
clust28	0.196180555555556	0.857638888888889	0.244791666666667	0.505208333333333	0.21875	0.394097222222222	0.527777777777778	1	0.189236111111111	0.913194444444444
clust29	0.534722222222222	0.355902777777778	0.260416666666667	0	0.0868055555555556	0.96875	0.779513888888889	0.189236111111111	0.928819444444444	0.489583333333333
clust30	0.385416666666667	0.779513888888889	0.111111111111111	0.0868055555555556	0	0.953125	0.456597222222222	0.866319444444444	0.590277777777778	0.723958333333333
clust31	0.944444444444444	0.503472222222222	0.857638888888889	0.692708333333333	1	0.652777777777778	0.243055555555556	0.0625	0.376736111111111	0.369791666666667
clust32	0	0.661458333333333	0.338541666666667	0.251736111111111	0.227430555555556	0.795138888888889	0.953125	0.456597222222222	0.944444444444444	0.574652777777778
clust33	0.810763888888889	0.111111111111111	0.866319444444444	0.559027777777778	0.510416666666667	0.519097222222222	0.677083333333333	0.015625	0.90625	0.0555555555555556
