cell,seurat,truth,paper
BC01_02,10,Tumor,4
BC01_03,10,Tumor,4
BC01_04,10,Tumor,4
BC01_05,10,Tumor,4
BC01_06,10,Tumor,4
BC01_08,10,Tumor,4
BC01_10,10,Tumor,4
BC01_12,10,Tumor,4
BC01_33,10,Tumor,4
BC01_34,10,Tumor,4
BC01_53,10,Tumor,4
BC01_55,10,Tumor,4
BC01_57,10,Tumor,4
BC01_66,10,Tumor,4
BC01_69,10,Tumor,4
BC01_70,10,Tumor,4
BC01_72,10,Tumor,4
BC01_74,10,Stromal,5
BC01_77,10,Tumor,4
BC01_87,10,Tumor,4
BC01_95,10,Tumor,4
BC04_01,6,Tumor,4
BC04_02,6,Tumor,4
BC04_07,6,Tumor,4
BC04_08,3,Stromal,5
BC04_09,6,Tumor,4
BC04_11,6,Tumor,4
BC04_13,6,Tumor,4
BC04_20,6,Tumor,4
BC04_21,1,Myeloid,3
BC04_23,6,Tumor,4
BC04_24,6,Tumor,4
BC04_27,6,Tumor,4
BC04_28,6,Tumor,4
BC04_29,6,Tumor,4
BC04_31,6,Tumor,4
BC04_32,6,Tumor,4
BC04_33,6,Tumor,4
BC04_36,6,Tumor,4
BC04_37,6,Tumor,4
BC04_39,6,Tumor,4
BC04_40,6,Tumor,4
BC04_41,6,Tumor,4
BC04_45,6,Tumor,4
BC04_49,6,Tumor,4
BC04_53,6,Tumor,4
BC04_54,6,Tumor,4
BC04_56,6,Tumor,4
BC04_58,6,Tumor,4
BC04_59,6,Tumor,4
BC04_60,6,Tumor,4
BC04_61,6,Tumor,4
BC04_63,6,Tumor,4
BC04_64,6,Tumor,4
BC04_66,1,Tcell,2
BC04_69,6,Tumor,4
BC04_71,6,Tumor,4
BC04_77,6,Tumor,4
BC04_78,6,Tumor,4
BC04_82,6,Tumor,4
BC04_85,6,Tumor,4
BC04_86,6,Tumor,4
BC04_88,6,Tumor,4
BC04_89,1,Tcell,2
BC04_90,6,Tumor,4
BC04_91,6,Tumor,4
BC04_92,6,Tumor,4
BC04_93,6,Tumor,4
BC04_96,1,Tcell,2
BC03_03,1,Tcell,2
BC03_06,1,Bcell,6
BC03_09,8,Tumor,4
BC03_11,8,Tumor,4
BC03_13,8,Tumor,4
BC03_16,8,Tumor,4
BC03_17,8,Tumor,4
BC03_19,8,Tumor,4
BC03_20,8,Tumor,4
BC03_21,8,Tumor,4
BC03_23,8,Tumor,4
BC03_24,7,Bcell,6
BC03_26,8,Tumor,4
BC03_28,7,Bcell,6
BC03_29,8,Tumor,4
BC03_35,8,Tumor,4
BC03_37,8,Tumor,4
BC03_41,8,Tumor,4
BC03_43,8,Tumor,4
BC03_50,1,Tcell,2
BC03_57,1,Tcell,2
BC03_58,1,Tcell,2
BC03_60,1,Bcell,6
BC03_78,1,Tcell,2
BC03_81,1,Bcell,6
BC03_86,1,Bcell,6
BC03_92,1,Bcell,6
BC03_93,7,Bcell,6
BC03_94,1,Tcell,2
BC03LN_01,7,Bcell,6
BC03LN_04,7,Bcell,6
BC03LN_05,8,Tumor,4
BC03LN_06,1,Bcell,6
BC03LN_10,7,Bcell,6
BC03LN_11,7,Bcell,6
BC03LN_13,7,Bcell,6
BC03LN_14,7,Bcell,6
BC03LN_17,7,Bcell,6
BC03LN_19,7,Tumor,4
BC03LN_20,7,Bcell,6
BC03LN_21,7,Bcell,6
BC03LN_23,8,Tumor,4
BC03LN_25,8,Tumor,4
BC03LN_26,7,Bcell,6
BC03LN_27,1,Bcell,6
BC03LN_28,8,Tumor,4
BC03LN_31,7,Bcell,6
BC03LN_32,7,Bcell,6
BC03LN_34,7,Bcell,6
BC03LN_35,8,Tumor,4
BC03LN_37,7,Bcell,6
BC03LN_38,7,Bcell,6
BC03LN_42,7,Bcell,6
BC03LN_44,7,Bcell,6
BC03LN_47,1,Tumor,4
BC03LN_48,7,Bcell,6
BC03LN_49,1,Bcell,6
BC03LN_50,7,Bcell,6
BC03LN_51,7,Bcell,6
BC03LN_53,1,Tcell,2
BC03LN_56,1,Tcell,2
BC03LN_57,8,Tumor,4
BC03LN_61,8,Tumor,4
BC03LN_62,7,Bcell,6
BC03LN_63,1,Bcell,6
BC03LN_64,7,Bcell,6
BC03LN_65,7,Bcell,6
BC03LN_68,7,Bcell,6
BC03LN_69,7,Bcell,6
BC03LN_70,1,Bcell,6
BC03LN_71,1,Bcell,6
BC03LN_72,7,Bcell,6
BC03LN_73,1,Tcell,2
BC03LN_78,1,Tcell,2
BC03LN_79,7,Bcell,6
BC03LN_85,7,Bcell,6
BC03LN_89,8,Tumor,4
BC03LN_91,1,Tcell,2
BC03LN_93,1,Bcell,6
BC03LN_95,7,Bcell,6
BC07_01,8,Tumor,4
BC07_03,1,Tcell,2
BC07_04,9,Myeloid,3
BC07_06,4,Tumor,4
BC07_08,4,Tumor,4
BC07_09,9,Myeloid,3
BC07_12,4,Tumor,4
BC07_15,4,Tumor,4
BC07_16,1,Tcell,2
BC07_18,4,Tumor,4
BC07_20,4,Tumor,4
BC07_23,8,Stromal,5
BC07_24,4,Tumor,4
BC07_27,4,Tumor,4
BC07_30,1,Tcell,2
BC07_31,4,Tumor,4
BC07_35,4,Tumor,4
BC07_36,4,Tumor,4
BC07_38,4,Tumor,4
BC07_39,4,Tumor,4
BC07_42,3,Stromal,5
BC07_43,4,Tumor,4
BC07_44,4,Stromal,5
BC07_50,1,Myeloid,3
BC07_52,3,Stromal,5
BC07_56,1,Tcell,2
BC07_57,4,Tumor,4
BC07_59,4,Tumor,4
BC07_60,1,Tcell,2
BC07_61,4,Tcell,2
BC07_63,1,Bcell,6
BC07_65,4,Tumor,4
BC07_66,4,Tumor,4
BC07_67,4,Tumor,4
BC07_68,1,Bcell,6
BC07_69,1,Tcell,2
BC07_72,1,Tumor,4
BC07_73,4,Tumor,4
BC07_75,4,Tumor,4
BC07_78,4,Tumor,4
BC07_79,1,Myeloid,3
BC07_80,1,Bcell,6
BC07_83,1,Myeloid,3
BC07_87,4,Tumor,4
BC07_89,4,Tumor,4
BC07_93,1,Myeloid,3
BC07_95,3,Myeloid,3
BC07LN_02,4,Tumor,4
BC07LN_03,7,Bcell,6
BC07LN_04,1,Bcell,6
BC07LN_05,1,Bcell,6
BC07LN_06,4,Tumor,4
BC07LN_10,3,Stromal,5
BC07LN_13,4,Tumor,4
BC07LN_15,4,Tumor,4
BC07LN_16,7,Bcell,6
BC07LN_18,1,Bcell,6
BC07LN_19,1,Bcell,6
BC07LN_22,7,Bcell,6
BC07LN_23,4,Tumor,4
BC07LN_26,4,Tumor,4
BC07LN_27,1,Bcell,6
BC07LN_29,4,Tumor,4
BC07LN_31,4,Tumor,4
