FDRQvalue.All	B_CELLS	CANCER_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	FIBROBLASTS	MACROPHAGES	MAST_CELLS	T_CELLS
clust1	NA	0.7283096	0.3438871	0.8181911	1.0	0.56744874	NA	NA
clust2	NA	0.7993209	1.0	0.6757921	1.0	0.59016645	NA	NA
clust3	NA	1.0	0.7736993	0.8921965	0.7404187	0.5829933	NA	NA
clust4	NA	0.9606673	0.19078572	0.78876185	0.9200667	1.0	NA	0.80005884
clust5	NA	0.6534317	0.41198495	0.78522575	0.99667096	0.4326369	NA	NA
clust6	NA	0.9777916	0.6588214	NA	0.7468509	0.89703894	NA	0.82145184
clust7	0.8145562	1.0	1.0	0.8952638	1.0	0.6655705	NA	NA
clust8	NA	1.0	0.5900855	0.7339976	0.9541238	0.74319905	NA	0.8996501
clust9	NA	0.8391521	0.7365559	0.97778744	0.6761131	0.52301157	NA	NA
clust10	NA	1.0	0.95944154	0.6212459	0.7555661	1.0	NA	NA
clust11	NA	0.78693223	0.9920121	0.44397947	0.7780185	0.8888289	NA	NA
clust12	NA	0.7206625	NA	0.6005292	0.3821693	0.5948389	NA	0.8137412
clust13	NA	1.0	0.93731517	0.4481188	1.0	0.8964836	NA	NA
clust14	NA	0.7710275	NA	1.0	0.99863225	0.6634715	NA	NA
clust15	NA	0.9748997	0.96515024	0.635121	1.0	1.0	NA	1.0
clust16	0.9593783	0.79559827	1.0	0.94556373	0.9378476	1.0	NA	NA
clust17	NA	0.82401675	0.9461867	0.6135428	0.7018951	1.0	NA	0.9455236
clust18	NA	0.97214925	1.0	1.0	1.0	1.0	NA	1.0
clust19	NA	1.0	0.6355815	1.0	0.9119126	1.0	NA	0.5713498
clust20	NA	0.81543034	NA	NA	0.92543083	0.7631405	0.13729048	NA
clust21	NA	0.9534644	0.84524375	0.94960326	1.0	0.67765665	NA	NA
clust22	NA	0.08555715	1.0	0.9272651	1.0	1.0	NA	0.90962315
clust23	NA	0.75919926	0.97435164	0.49830303	1.0	0.98586726	NA	1.0
