Pvalue.All.mLog	B_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	MAST_CELLS	T_CELLS
clust1	2.20984302615257	NA	NA	29.9336062089226	0.12067744542188
clust2	0.959982360692592	NA	NA	3.6603513964994	0.12391073421201
clust3	2.16905369411952	NA	NA	29.9336062089226	0.291520817682024
clust4	1.78058614396326	NA	NA	29.9336062089226	NA
clust5	1.54592452594254	NA	NA	29.9336062089226	0.13045293593842
clust6	1.01914813293886	NA	0.11303887450621	3.78418962191826	NA
clust7	NA	NA	NA	0.693147180559945	0.652684296912282
clust8	2.29515010117319	NA	NA	3.14271445523597	NA
clust9	2.91235070301494	NA	NA	1.16661703422661	0.253448904655693
clust10	2.5520459772923	NA	NA	3.43398722048515	0.292745402834724
clust11	2.3869262926278	NA	NA	29.9336062089226	0.417998828039205
clust12	0.322598345679836	0.0850789725590398	NA	2.35477082759319	NA
clust13	2.34180576614733	NA	NA	29.9336062089226	0.282152057873693
clust14	3.33544599009937	0.150660286676108	NA	2.05732371417622	0.267994092250204
clust15	0.808529233383827	NA	NA	4.0876556032713	NA
clust16	NA	NA	NA	0.707331828694759	0.47913608345121
clust17	2.27631718524751	NA	NA	3.43398722048515	NA
clust18	2.07247283958597	NA	NA	29.9336062089226	NA
clust19	2.64617473838412	NA	NA	29.9336062089226	NA
clust20	2.49815190213802	0.0979803715954985	0.105566648012752	NA	0.275368858838472
clust21	2.24618544027386	NA	NA	3.80029300805627	0.139284021597489
clust22	1.12629575415337	NA	NA	3.20422357035406	NA
clust23	0.490327094874655	NA	NA	2.96870358196607	NA
