genes	clust3	clust4	clust6	clust7	clust10	clust11	clust13	clust17	clust19	clust20
A1BG	0.080748976009362	0.067077592458303	0.080748976009362	0.108640727640222	0.099634846113719	0.098352941176471	0.068627450980392	0.098681732580038	0.120549797205949	0.099836333878887
A1BG-AS1	0.002340550029257	0.001450326323423	0.001170275014628	0.002526528549773	0.000521648408972	0.005176470588235	0.001089324618736	0.004519774011299	0.002027940513745	0.003273322422259
A1CF	0	0.001087744742567	0	0.000505305709955	0.000521648408972	0.000470588235294	0.001089324618736	0.000376647834275	0.000901306894998	0.000981996726678
A2M	0.010532475131656	0.000725163161711	0.008191925102399	0.014653865588681	0.005216484089724	0.012235294117647	0.004357298474946	0.004896421845574	0.008787742226228	0.001963993453355
A2M-AS1	0.005266237565828	0.000725163161711	0	0.014148559878727	0.005216484089724	0.006117647058824	0.004357298474946	0.004896421845574	0.009238395673727	0.002291325695581
A2ML1	0.000585137507314	0.000362581580856	0.000585137507314	0.004547751389591	0.000521648408972	0	0	0.001129943502825	0.001126633618747	0.000327332242226
A2MP1	0.001170275014628	0	0.001170275014628	0.002021222839818	0	0.001411764705882	0	0	0.000675980171248	0
A3GALT2	0	0	0	0	0	0	0	0	0.000225326723749	0
A4GALT	0.001755412521943	0.000362581580856	0.000585137507314	0.003537139969682	0.003129890453834	0.003294117647059	0	0.00225988700565	0.00405588102749	0.001636661211129
A4GNT	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0
AAAS	0.019309537741369	0.019216823785352	0.033352837916911	0.03132895401718	0.055294731351069	0.046588235294118	0.040305010893246	0.023728813559322	0.059035601622352	0.052700490998363
AACS	0.008191925102399	0.00507614213198	0.008777062609713	0.017685699848408	0.022430881585811	0.020705882352941	0.019607843137255	0.006779661016949	0.0200540784137	0.020294599018003
AACSP1	0	0	0	0	0	0	0	0	0	0.000327332242226
AADAC	0.000585137507314	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0.000225326723749	0
AADACL2-AS1	0	0.000362581580856	0.000585137507314	0	0.000521648408972	0.000470588235294	0.006535947712418	0	0.000225326723749	0.000654664484452
AADACL3	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0.000725163161711	0	0.000505305709955	0	0.001411764705882	0	0	0.001577287066246	0.000654664484452
AADAT	0.012287887653599	0.001812907904278	0.016968987712112	0.007074279939363	0.004694835680751	0.005176470588235	0.013071895424837	0.00225988700565	0.031545741324921	0.016366612111293
AAED1	0.249268578115857	0.111675126903553	0.187829139847864	0.072258716523497	0.241001564945227	0.152941176470588	0.220043572984749	0.151035781544256	0.103424966200991	0.192471358428805
AAGAB	0.035108250438853	0.055837563451777	0.063194850789936	0.049014653865589	0.082420448617632	0.058352941176471	0.06318082788671	0.050470809792844	0.093059936908517	0.09328968903437
AAK1	0.06377998829725	0.21464829586657	0.102399063779988	0.106619504800404	0.45018257694314	0.143058823529412	0.206971677559913	0.303954802259887	0.129562866155926	0.165302782324059
AAMDC	0.065535400819193	0.027556200145033	0.060854300760679	0.037897928246589	0.043818466353678	0.044705882352941	0.081699346405229	0.039924670433145	0.074583145561064	0.049427168576105
