Input_Sample	P-value	Pearson Correlation	RMSE
clust1	0.507	0.5198126559273685	0.9229766958060527
clust2	0.46	0.5529496873861878	0.9140526207889034
clust3	0.159	0.8209179183913542	0.5745521622916645
clust4	0.683	0.3359328658251245	1.0852102097646754
clust5	0.426	0.5721510936194474	0.863630957446087
clust6	0.407	0.5876342973875922	0.9391156551815949
clust7	0.125	0.8627790568947886	0.5243473691606245
clust8	0.522	0.5077646144143296	0.8655775164958102
clust9	0.124	0.8665563360159361	0.4955050410859585
clust10	0.426	0.5745309251450378	0.8631520008692184
clust11	0.392	0.6018955572830224	0.9074314741409438
clust12	0.313	0.6659530178989456	0.7286311592507496
clust13	0.065	0.9460800556075362	0.34611518967170557
clust14	0.383	0.6077364278136814	0.9260404669274681
clust15	0.035	0.9816326135325835	0.2170566437093178
clust16	0.325	0.6518750067987931	0.7755698644432656
clust17	0.272	0.691280477667265	0.7253674198997713
clust18	0.243	0.7232016925979001	0.6880415082889374
clust19	0.099	0.8979958550851372	0.4670085864535044
clust20	0.071	0.9342693732576209	0.5713883887262861
clust21	0.497	0.5296126194924359	0.8902625753805338
clust22	0.405	0.5890386906800934	1.279001335160107
clust23	0.319	0.6625191004459109	0.8127551676039301
