Input_Sample	B.CELL	CAF	ENDO.	MACROPHAGE	MAL	NK	NONE	STROMAL	T.CD4	T.CD8	T.CELL
clust1	0.005992796976773189	0	0.006721517397035828	0.0024897245067059363	0	0.013305365535110828	0	0.006899607025713952	0	0.8732581707102955	0.0913328178483647
clust2	0.02911703350421961	0	0	0	0	0.032756895315846	0	0.028881378985644756	0.7341126575553996	0.17513203463888555	0
clust3	0.28599102121391773	0	0	0	0	0.0870004185495575	0	0	0.5497449395650937	0	0.07726362067143105
clust4	0	0	0	0	0	0.008708965661902825	0	0	0.9823456749069253	0	0.008945359431170955
clust5	0	0	0	0.0012175219170635185	0	0.013075505107315016	0	0	0	0.9516183564236168	0.03408861655199976
clust6	0	0.5274243291315434	0	0	0	0	0	0	0.47257567086067775	0	0
clust7	0	0	0	0.9415845091639441	0	0	0	0.03884973794794556	0.019565752888110313	0	0
clust8	0	0	0	0	0	0	0	0	1.0	0	0
clust9	0	0	0	0	0	0	0	0.14271437404371803	0.857285625956282	0	0
clust10	0	0.5995902490596371	0	0	0	0	0	0.02567990826865828	0.3747298426716876	0	0
clust11	0.01236707348556409	0	0	0	0	0.01547834058544321	0	0	0.08919531231280148	0.8647013156195978	0.018257957996593407
clust12	0	0.32430835806093505	0	0.6756916419297525	0	0	0	0	0	0	0
clust13	0	0.4075821585687909	0.1688727422144154	0.19830561005154898	0	0.05332208670049122	0	0.08636214697347203	0	0	0.08555525549128148
clust14	0	0.3642097999092433	0.2149307668319261	0.061713063915353195	0	0.005547360102780292	0	0.21280504901500535	0.06707172808775089	0	0.0737222321374433
clust15	0	0	0	0.3020464685666947	0	0	0	0.30204646858749307	0	0	0.3959070600133863
clust16	0.0014876175272141717	0.02844170412885688	0.9022389700646112	0.0061048059550096335	0	0.0036168816480003523	0	0.022285460393643392	0.034690296710881884	0	0.0011342635717824815
clust17	0	0.9930701500312638	0.0019356524805175628	0	0	0.0011276388307200408	0	0.0025523344893822815	0.0013142241680024617	0	0
