CLASS	ColumnHeader	EnrichmentScore	p.Val	FDR	PassCutoff_p0.05_fdr0.1
HSC_PROG	clust2	0.0388447207910893	0.313796784913626	0.704013435716875	0
GMP	clust2	-0.134249325963579	0.449686520923748	0.949773656992505	0
MYELOID	clust2	-0.684014759416577	0.155601715388251	0.513936329401263	0
HSC_PROG_LIKE	clust2	0.5897034807395	0.0519178795029902	0.38964648963318	0
GMP_LIKE	clust2	-0.295923933026538	0.417400548168855	0.876317088386527	0
MYELOID_LIKE	clust2	-0.686021209745919	0.154610586215476	0.512766449068832	0
HSC_PROG	clust3	-0.558734429644277	0.267757948209521	0.35344129093443	0
GMP	clust3	-0.623049963832783	0.237881997146053	0.350338140792534	0
MYELOID	clust3	0.833736736601013	0.0799738526047422	0.350338140792534	0
HSC_PROG_LIKE	clust3	-0.605410358018127	0.245889649967227	0.350338140792534	0
GMP_LIKE	clust3	-0.510968419393068	0.291108493643887	0.392073173476976	0
MYELOID_LIKE	clust3	0.668606122525072	0.121984493135048	0.350338140792534	0
HSC_PROG	clust4	0.696618945232583	0.0808618058099092	0.340199419811398	0
GMP	clust4	-0.444213668766882	0.267145499901189	0.403900416655491	0
MYELOID	clust4	-0.566146353414642	0.201169945828922	0.340199419811398	0
HSC_PROG_LIKE	clust4	0.549946282106884	0.127248279367566	0.340199419811398	0
GMP_LIKE	clust4	-0.290397315618058	0.363539842729548	0.70200207687045	0
MYELOID_LIKE	clust4	-0.505971873150604	0.232431724142912	0.358506896099005	0
HSC_PROG	clust6	-0.519521381017945	0.141305853283293	0.409923273351801	0
GMP	clust6	0.135937445765531	0.480695466142464	1	0
MYELOID	clust6	0.746965990192326	0.136720457435751	0.402049060633868	0
HSC_PROG_LIKE	clust6	-0.601496682334217	0.112201297637925	0.365020040068131	0
GMP_LIKE	clust6	0.146937975909271	0.473189983853902	1	0
MYELOID_LIKE	clust6	0.73725728155333	0.140396268325021	0.408339478490896	0
HSC_PROG	clust7	0.171021796496167	0.217878324983566	0.461955479453436	0
GMP	clust7	-0.310731799730519	0.32374455205726	0.551558096220026	0
MYELOID	clust7	-0.242586006533989	0.388846361094957	0.690198965139645	0
HSC_PROG_LIKE	clust7	0.492461510035437	0.054302523861472	0.401858364542719	0
GMP_LIKE	clust7	-0.568947947895958	0.131340235428911	0.446527831590863	0
MYELOID_LIKE	clust7	-0.33681810886843	0.30006447106412	0.520024106113144	0
HSC_PROG	clust8	-0.338524308992618	0.180601822743949	0.362805517270885	0
GMP	clust8	0.472748713720105	0.325305856044012	0.732187859301091	0
MYELOID	clust8	0.71827354033624	0.19315826597602	0.38160257045064	0
HSC_PROG_LIKE	clust8	-0.656735948421552	0.0736876454494759	0.350511818638374	0
GMP_LIKE	clust8	0.196940205073013	0.495419479663464	1	0
MYELOID_LIKE	clust8	0.829854368931979	0.145897592059809	0.350511818638374	0
HSC_PROG	clust9	0.140346910338959	0.23104334370984	0.165440042072379	0
GMP	clust9	-0.546149495964823	0.296199430995068	0.19146252524282	0
MYELOID	clust9	-0.602748391045516	0.261042869206862	0.165440042072379	0
HSC_PROG_LIKE	clust9	0.668665653660485	0.0433204445431582	0.159507758384197	0
GMP_LIKE	clust9	-0.551921263828656	0.292516756450719	0.182599797442331	0
MYELOID_LIKE	clust9	-0.649816099466631	0.233533051854601	0.165440042072379	0
HSC_PROG	clust11	0.0651306915148663	0.414573878452587	0.91603721499057	0
GMP	clust11	0.24676284506556	0.285858123759268	0.674852056223625	0
MYELOID	clust11	-0.623493588260027	0.133468332925566	0.426227572094516	0
HSC_PROG_LIKE	clust11	0.0471139682709246	0.428143089733066	0.949465465264195	0
GMP_LIKE	clust11	0.664317308511954	0.0854179527596923	0.361084855627391	0
MYELOID_LIKE	clust11	-0.681482710632466	0.110891212937144	0.392668609702543	0
HSC_PROG	clust13	-0.212455054407472	0.14133820426124	0.343451628453924	0
GMP	clust13	0.056253743505452	0.404908018126475	0.921451427842058	0
MYELOID	clust13	0.127950664843036	0.277082970859451	0.473146709238026	0
HSC_PROG_LIKE	clust13	-0.283248446377081	0.0776917369711039	0.343451628453924	0
GMP_LIKE	clust13	0.204689092952972	0.166755345171978	0.343451628453924	0
MYELOID_LIKE	clust13	0.149265393190413	0.243265214860146	0.41308527421824	0
HSC_PROG	clust15	0.374652647439021	0.362350533497779	0.764483762977481	0
GMP	clust15	0.67409100359514	0.15198529690965	0.373572445619941	0
MYELOID	clust15	-0.448630185833469	0.0660588853361848	0.373572445619941	0
HSC_PROG_LIKE	clust15	0.264106376519368	0.45909975817476	1	0
GMP_LIKE	clust15	0.612637772855784	0.186929501399171	0.406828895428915	0
MYELOID_LIKE	clust15	-0.165265873592388	0.193161203209099	0.415445381035005	0
HSC_PROG	clust16	0.141418227417995	0.211373741478258	0.436883209004294	0
GMP	clust16	0.618786117718237	0.146010481853093	0.436883209004294	0
MYELOID	clust16	0.473357261418886	0.312609424446987	0.481423699030169	0
HSC_PROG_LIKE	clust16	-0.0687010561028673	0.0527963909922775	0.419919507264157	0
GMP_LIKE	clust16	0.448822058117723	0.347120013024622	0.543926204251265	0
MYELOID_LIKE	clust16	0.472391649671434	0.313939492430401	0.483356644069069	0
