ENRICHMENT	HSC_PROG	GMP	MYELOID	HSC_PROG_LIKE	GMP_LIKE	MYELOID_LIKE
clust2	0.0388447207910893	-0.134249325963579	-0.684014759416577	0.5897034807395	-0.295923933026538	-0.686021209745919
clust3	-0.558734429644277	-0.623049963832783	0.833736736601013	-0.605410358018127	-0.510968419393068	0.668606122525072
clust4	0.696618945232583	-0.444213668766882	-0.566146353414642	0.549946282106884	-0.290397315618058	-0.505971873150604
clust6	-0.519521381017945	0.135937445765531	0.746965990192326	-0.601496682334217	0.146937975909271	0.73725728155333
clust7	0.171021796496167	-0.310731799730519	-0.242586006533989	0.492461510035437	-0.568947947895958	-0.33681810886843
clust8	-0.338524308992618	0.472748713720105	0.71827354033624	-0.656735948421552	0.196940205073013	0.829854368931979
clust9	0.140346910338959	-0.546149495964823	-0.602748391045516	0.668665653660485	-0.551921263828656	-0.649816099466631
clust11	0.0651306915148663	0.24676284506556	-0.623493588260027	0.0471139682709246	0.664317308511954	-0.681482710632466
clust13	-0.212455054407472	0.056253743505452	0.127950664843036	-0.283248446377081	0.204689092952972	0.149265393190413
clust15	0.374652647439021	0.67409100359514	-0.448630185833469	0.264106376519368	0.612637772855784	-0.165265873592388
clust16	0.141418227417995	0.618786117718237	0.473357261418886	-0.0687010561028673	0.448822058117723	0.472391649671434
