cell,altA54lyze,ascend,bigScale,cellranger,cidr,countClust,monocle,pcaReduce,phenograph,raceid,rca,sc3,scran,seurat,sincera,tscan,truth,category
cy04.3_CD45pos_S1,279,1,4,11,4,2,27,3,8,2,1,26,3,1,5,17,T cell,Immune
cy04.3_CD45pos_S11,282,1,8,9,5,6,46,16,2,6,0,42,1,2,3,11,T.CD4,Immune
cy04.3_CD45pos_S12,279,1,3,5,4,5,39,31,6,2,1,54,3,5,3,17,T.CD8,Immune
cy04.3_CD45pos_S14,279,1,3,7,5,1,41,19,6,2,3,54,2,4,3,3,T.CD8,Immune
cy04.3_CD45pos_S15,278,1,2,3,5,1,42,29,10,7,4,4,3,3,3,3,B cell,Immune
cy04.3_CD45pos_S16,278,1,3,5,4,2,39,31,10,2,1,32,3,5,3,17,T.CD8,Immune
cy04.3_CD45pos_S17,279,1,3,7,5,4,41,19,6,11,0,49,3,4,3,3,T.CD8,Immune
cy04.3_CD45pos_S20,280,1,3,4,5,2,40,16,8,2,1,42,2,4,3,20,T cell,Immune
cy04.3_CD45pos_S22,278,1,3,9,5,6,46,5,10,6,55,40,1,2,3,11,NK,Immune
cy04.3_CD45pos_S25,279,1,3,5,4,1,38,31,8,2,3,54,3,5,3,3,T.CD4,Immune
cy04.3_CD45pos_S26,282,1,1,9,5,6,45,9,9,6,1,54,1,5,3,4,T cell,Immune
cy04.3_CD45pos_S27,282,1,1,7,4,1,40,24,9,17,3,42,3,4,1,3,T.CD8,Immune
cy04.3_CD45pos_S28,282,1,3,5,4,1,30,31,9,8,1,32,1,5,3,20,T.CD8,Immune
cy04.3_CD45pos_S29,280,1,3,7,4,1,39,31,8,2,1,54,2,5,3,20,T.CD4,Immune
cy04.3_CD45pos_S3,282,1,1,1,4,2,39,9,9,3,1,42,1,1,3,2,T.CD4,Immune
cy04.3_CD45pos_S30,279,1,3,5,4,2,30,31,8,2,1,32,2,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S31,280,1,1,5,4,2,39,24,7,2,3,44,1,5,3,20,T.CD4,Immune
cy04.3_CD45pos_S32,278,1,1,5,4,2,38,31,10,2,3,47,3,5,3,3,T.CD4,Immune
cy04.3_CD45pos_S33,243,1,3,5,4,2,38,30,14,2,3,29,3,5,3,3,T cell,Immune
cy04.3_CD45pos_S34,278,1,3,9,4,1,45,5,10,2,1,23,2,1,3,11,NK,Immune
cy04.3_CD45pos_S35,278,1,3,9,5,1,46,5,10,8,1,42,1,2,3,11,T.CD8,Immune
cy04.3_CD45pos_S36,278,1,3,9,5,1,46,5,10,8,67,54,1,2,3,11,T.CD4,Immune
cy04.3_CD45pos_S37,278,1,3,5,4,1,41,31,10,2,19,54,3,5,3,3,T.CD4,Immune
cy04.3_CD45pos_S39,281,1,1,5,4,2,39,31,7,2,1,23,3,5,3,3,NK,Immune
cy04.3_CD45pos_S4,280,1,3,5,4,2,39,31,8,2,1,54,2,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S40,243,1,3,5,4,2,39,31,14,2,1,32,3,5,3,3,T.CD8,Immune
cy04.3_CD45pos_S41,180,2,1,4,5,1,34,16,16,2,1,42,3,5,3,7,T.CD8,Immune
