Pvalue.All	GMP	GMP_LIKE	HSC_PROG	HSC_PROG_LIKE	MYELOID	MYELOID_LIKE
clust2	0.9439439	0.50801605	0.011011011	0.23423423	0.9319319	0.7657658
clust3	1.0	1.0	0.579	0.064	0.0	0.0
clust4	0.992993	0.73	0.007007007	0.223	1.0	0.744
clust6	0.995	0.923	0.297	0.007	0.118	0.035
clust7	0.995996	0.643	0.033	0.147	0.614	0.812
clust8	0.975	0.964	0.533	0.016	0.086	0.007
clust9	0.867	0.6296296	0.009	0.01	0.997	0.988
clust11	0.46346346	0.146	0.024	0.069	0.999	0.997
clust13	0.783	0.565	0.108	0.076	0.778	0.388
clust15	0.381	0.042	0.076	0.151	0.955	0.51
clust16	0.8858859	0.856	0.081	0.0	0.377	0.134
