MetaNeighborUS	NEOPLASTIC	OLIGODENDROCYTE	VASCULAR	NEURON	IMMUNE	OPC	ASTOCYTE
clust1	0.35	0.783333333333333	0.933333333333333	0.433333333333333	0.516666666666667	0.7	0
clust2	0.0666666666666667	0.766666666666667	0.683333333333333	0.15	0.266666666666667	0.35	0.566666666666667
clust3	0.1	0.8	0.716666666666667	0.183333333333333	0.3	0.383333333333333	0.5
clust4	0.166666666666667	0.566666666666667	0.866666666666667	0.25	0.166666666666667	0.683333333333333	0.45
clust5	0.133333333333333	0.383333333333333	0.75	0.216666666666667	0.333333333333333	0.5	0.833333333333333
clust6	0.0166666666666667	0.433333333333333	0.633333333333333	0.1	0.216666666666667	0.55	0.783333333333333
clust7	0.0166666666666667	0.433333333333333	0.633333333333333	0.1	0.216666666666667	0.55	0.783333333333333
clust8	0.916666666666667	0.183333333333333	0.65	0.766666666666667	1	0.0666666666666667	0.3
clust9	0.5	0.883333333333333	0.15	0.966666666666667	0.583333333333333	0.766666666666667	0.0333333333333333
clust10	0.65	1	0.183333333333333	0.5	0.7	0.816666666666667	0.0666666666666667
clust11	0.316666666666667	0.933333333333333	0.0333333333333333	0.4	0.45	0.633333333333333	0.816666666666667
clust12	0.383333333333333	0.733333333333333	0.883333333333333	0.466666666666667	0.55	0	0.933333333333333
clust13	0.683333333333333	0	0.216666666666667	0.533333333333333	0.733333333333333	0.883333333333333	0.966666666666667
clust14	0.8	0.15	0.333333333333333	0.65	0.966666666666667	0.0333333333333333	0.916666666666667
clust15	0.533333333333333	0.0333333333333333	0.916666666666667	1	0.683333333333333	0.833333333333333	0.183333333333333
clust16	0.283333333333333	0.833333333333333	0	0.366666666666667	0.483333333333333	0.666666666666667	0.783333333333333
