Input_Sample	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	MELANOMA	NK	TCELL
clust1	0	0	0	0	0	0	0.999999999999999
clust2	0	0	0	0	0	0	0.9999999999999991
clust3	0.9999999999999993	0	0	0	0	0	0
clust4	0.6196300504740608	0.3803699495259392	0	0	0	0	0
clust5	0	0	0	0	0	0	0.9999999999999829
clust6	0	0.6342233474143246	0	0.3657766525856754	0	0	0
clust7	0.46343748787698275	0.07244624243552734	0	0.46411626968746267	0	0	0
clust8	0.48967054796915416	0.44752509289984854	0	0	0	0	0.06280435913099547
clust9	0	0	0	0.9999999999999964	0	0	0
clust10	0	0	0	0	0	0	1.0
clust11	0	0	0	0	0	0	0.9999999999999937
clust12	0	1.0	0	0	0	0	0
clust13	0	0	0	0	0	0	0.9999999999999998
clust14	0	0	1.0	0	0	0	0
clust15	0	0.9999999999999881	0	0	0	0	0
clust16	0.9999999999999988	0	0	0	0	0	0
