Input_Sample	P-value	Pearson Correlation	RMSE
clust1	0.0	0.869580066895616	0.5541531767827614
clust2	0.001	0.826948542174235	0.6313513942566963
clust3	0.001	0.8432371835161684	0.6030232911865425
clust4	0.488	0.2702760676172094	1.07928409799413
clust5	0.001	0.8359401543637326	0.6158749231589038
clust6	0.312	0.40112414938526303	1.0726522440078776
clust7	0.949	-0.12535287914704454	1.1947214219105644
clust8	0.269	0.44251475602818297	0.9599742909323964
clust9	0.004	0.7471796285797024	0.695160906410436
clust10	0.002	0.7888023863480877	0.693177104106837
clust11	0.006	0.7383174432906402	0.7673803438022786
clust12	0.269	0.4422462466236428	1.4295009113576798
clust13	0.001	0.8326548692455453	0.6215742731621711
clust14	0.0	0.9935854014084708	0.1122263194094656
clust15	0.064	0.5760217576340774	1.2981890313735265
clust16	0.001	0.8187335704943703	0.6451666444429172
