FDRQvalue.All	B.CELL	CAF	ENDO.	MACROPHAGE	NK	STROMAL	T.CD4	T.CD8	T.CELL
clust1	1.0	NA	NA	0.98594546	0.34496886	1.0	0.5468219	0.0023333333	0.037284706
clust2	0.8253093	NA	NA	0.9387412	0.1083018	0.9815388	0.0015555555	0.0858563	0.08827761
clust3	8.888889E-4	1.0	0.9354888	1.0	0.613558	1.0	0.5654312	NA	0.9524042
clust4	0.86048615	1.0	0.9614469	1.0	0.72223514	0.7461957	0.001	0.7994415	0.87837934
clust5	1.0	NA	0.99886113	1.0	0.26769376	1.0	0.58295816	0.0036666666	0.2826745
clust6	0.96175796	1.0	0.57541466	1.0	1.0	1.0	1.0	NA	0.86918145
clust7	1.0	NA	1.0	0.008111112	0.97633463	1.0	1.0	0.98138845	1.0
clust8	1.0	0.9726304	1.0	1.0	1.0	1.0	1.0	0.9997639	1.0
clust9	1.0	1.0	0.84217274	1.0	1.0	0.36164203	1.0	0.9978473	1.0
clust10	0.82022333	1.0	1.0	0.808589	0.6979283	1.0	0.9852746	NA	0.9996528
clust11	1.0	NA	NA	0.9924687	0.12561081	1.0	0.46737638	0.005638889	0.12920807
clust12	0.91138166	0.9547368	1.0	1.0	0.9597305	0.9705025	1.0	0.99829173	1.0
clust13	1.0	1.0	0.8349709	1.0	0.9959027	0.9283686	0.990931	NA	1.0
clust14	1.0	0.40478474	0.5007247	1.0	1.0	0.44500756	1.0	0.9968059	1.0
clust15	0.96198916	1.0	1.0	0.815504	1.0	0.684001	1.0	NA	1.0
clust16	1.0	1.0	0.009777779	1.0	1.0	0.20728515	1.0	NA	0.95571685
clust17	0.98350114	0.0016527777	1.0	1.0	1.0	0.7121203	1.0	NA	NA
