Pvalue.All	B.CELL	CAF	ENDO.	MACROPHAGE	NK	STROMAL	T.CD4	T.CD8	T.CELL
clust1	0.799	NA	NA	0.99297893	0.15075377	0.9298597	0.35274726	0.0010060362	0.012084592
clust2	0.59619236	NA	NA	0.9359359	0.077699296	0.8538539	0.0010683761	0.030181086	0.018126888
clust3	0.0	0.88357586	0.93957704	0.6800401	0.2326284	0.7247247	0.18574513	NA	0.72462314
clust4	0.36673346	0.8831437	0.96080405	0.9059059	0.22155085	0.399	0.0	0.17457114	0.5873494
clust5	0.8455366	NA	0.9979737	0.977978	0.10987903	0.98797596	0.32467532	0.0	0.067336686
clust6	0.8908909	0.5821206	0.14444445	0.7477477	0.5245245	0.098196395	0.73390555	NA	0.888666
clust7	0.9879397	NA	0.47826087	0.0010060362	0.5	0.27236181	0.6273224	0.98478705	0.95468277
clust8	0.134	0.7258567	0.5985844	0.5371486	0.2888889	0.35535535	0.63995725	1.0	1.0
clust9	0.98797596	0.8176034	0.19838056	0.51454365	0.41792548	0.025125628	0.73460245	0.99593085	0.9879397
clust10	0.6406406	0.39107883	0.40423387	0.38877755	0.43158954	0.2872873	0.81691647	NA	1.0
clust11	0.91883767	NA	NA	1.0	0.04833837	0.95481926	0.29501083	0.0020263426	0.027054109
clust12	0.75	0.61570245	0.17272727	0.2725451	0.3296593	0.4174174	0.5827957	0.99899596	0.99097294
clust13	0.951	0.51975054	0.11234818	0.3923924	0.6415663	0.21821822	0.98619956	NA	0.92269075
clust14	0.985986	0.08342023	0.1113381	0.5477387	0.7306533	0.09919839	0.9611231	0.99497485	0.9648594
clust15	0.978	0.66529775	0.4086781	0.157	0.568	0.047	0.851153	NA	0.8868869
clust16	0.865	0.6783505	0.001010101	0.8124373	0.89447236	0.037037037	0.8949079	NA	0.972973
clust17	0.996	0.0	0.7259858	0.83366936	0.91675025	0.16132264	0.8522848	NA	NA
