FDRQvalue.P0.01.Q0.25	B.CELL	CAF	ENDO.	MACROPHAGE	NK	STROMAL	T.CD4	T.CD8	T.CELL
clust1	NS	NA	NA	NS	NS	NS	NS	0.0023333333	NS
clust2	NS	NA	NA	NS	NS	NS	0.0015555555	NS	NS
clust3	8.888889E-4	NS	NS	NS	NS	NS	NS	NA	NS
clust4	NS	NS	NS	NS	NS	NS	0.001	NS	NS
clust5	NS	NA	NS	NS	NS	NS	NS	0.0036666666	NS
clust6	NS	NS	NS	NS	NS	NS	NS	NA	NS
clust7	NS	NA	NS	0.008111112	NS	NS	NS	NS	NS
clust8	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust9	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust10	NS	NS	NS	NS	NS	NS	NS	NA	NS
clust11	NS	NA	NA	NS	NS	NS	NS	0.005638889	NS
clust12	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS	NS	NA	NS
clust14	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS	NS	NA	NS
clust16	NS	NS	0.009777779	NS	NS	NS	NS	NA	NS
clust17	NS	0.0016527777	NS	NS	NS	NS	NS	NA	NA
