Pvalue.All.mLog	B.CELL	CAF	ENDO.	MACROPHAGE	NK	STROMAL	T.CD4	T.CD8	T.CELL
clust1	0.224394333215862	NA	NA	0.00704583369178856	1.89210743539567	0.0727215644304361	1.04200345582013	6.90173722385657	4.41582402625717
clust2	0.517191912312054	NA	NA	0.0662082877555891	2.55490908213864	0.157995177112327	6.84161544687759	3.50053984219442	4.01035891814901
clust3	29.9336062089226	0.123778127863698	0.0623254624261246	0.385603511962446	1.45831294832857	0.32196342037886	1.68337981376296	NA	0.322103566170454
clust4	1.0031199618172	0.12426735096215	0.0399847929879451	0.0988198414679644	1.50710314473827	0.918793862092274	29.9336062089226	1.7454229413351	0.532135406250178
clust5	0.167783823585131	NA	0.00202835572332258	0.022268104087859	2.20837524560619	0.0120969135141024	1.12492961138548	29.9336062089226	2.69805007940942
clust6	0.115533305697649	0.541077636222226	1.93486027440719	0.29068965737116	0.645263141083238	2.32078577508987	0.309374937121521	NA	0.118033817099421
clust7	0.0121336154854852	NA	0.737598942221688	6.90173722385657	0.693147180559945	1.30062391277336	0.466294675924596	0.0153298540765016	0.0463761716952141
clust8	2.00991547903123	0.320402666560023	0.51318774471168	0.621480500221302	1.24171309384725	1.03463700424356	0.44635390173443	0	0
clust9	0.0120969135141024	0.201377901028624	1.61756807280307	0.664474887656566	0.872452139862667	3.68386691789039	0.308425810453752	0.00407745151859723	0.0121336154854852
clust10	0.445286665732338	0.938846128064392	0.905761682372319	0.94474794983252	0.840280281294991	1.24727251863806	0.20221842925107	NA	0
clust11	0.0846458098783361	NA	NA	0	3.02952962376228	0.0462332129571892	1.22074321145177	6.20152278577354	3.60991638134417
clust12	0.287682072451781	0.484991467862235	1.75604140241545	1.29995117398606	1.10969558208105	0.873668598576372	0.539918582862637	0.00100454438580473	0.00906805077672376
clust13	0.0502412164367468	0.654406313283516	2.18615247985896	0.935492919470336	0.443842748746971	1.52225970769433	0.013896551349177	NA	0.0804611493747219
clust14	0.0141131232632667	2.48386443308456	2.1951837612188	0.601956930568743	0.313816213545295	2.31063349466173	0.0396527824817917	0.00503781852490699	0.035772887740217
clust15	0.0222456089473197	0.407520594172977	0.894827474383943	1.85150947363383	0.565633860260986	3.05760767727208	0.161163378084639	NA	0.12003781325792
clust16	0.145025772050258	0.388091162968464	6.89770495312864	0.207716536986712	0.111521276454879	3.29583686700433	0.1110344710303	NA	0.0273989464103371
clust17	0.00400802139753882	29.9336062089226	0.320224823577275	0.181918406070129	0.0869201993282573	1.82434894412203	0.15983453570889	NA	NA
