ORA.Pval.Corrected.cutoff_pos	B.CELL	CAF	ENDO.	MACROPHAGE	NK	STROMAL	T.CD4	T.CD8	T.CELL
clust1	1	1	1	1	0.611511700469516	1	0.611511700469516	4.01372226265334e-08	9.95397839924522e-05
clust2	1	1	1	1	0.272422808241983	1	0.00121464577952467	0.112522570742666	0.239015772764111
clust3	0.00134334143007561	1	1	1	0.948277382305846	1	0.948277382305846	1	1
clust4	0.88078636388994	1	1	1	0.591366111782038	1	6.52932118637766e-05	0.591366111782038	0.620450460138443
clust5	1	1	1	1	0.272422808241983	1	0.092738993997734	2.66994010367774e-06	0.092738993997734
clust6	1	1	0.255543113097125	1	1	0.255543113097125	1	1	1
clust7	1	1	1	2.74260902929905e-07	1	0.485846130752382	1	1	1
clust8	1	1	1	1	1	1	1	1	1
clust9	1	1	0.70704218762986	1	1	0.100665181571633	1	1	1
clust10	1	0.952249637155298	1	1	1	0.815467551316608	1	1	1
clust11	1	1	1	1	0.385200544046086	1	0.385200544046086	4.69659750253787e-06	0.0347548391909516
clust12	1	1	1	1	1	1	1	1	1
clust13	1	1	0.255543113097125	1	1	0.255543113097125	1	1	1
clust14	1	0.121296912630143	0.761799459581315	1	1	0.761799459581315	1	1	1
clust15	1	1	1	1	1	0.716179267256696	1	1	1
clust16	1	1	6.98267548434154e-08	1	1	0.389598584793187	1	1	1
clust17	1	3.84077716845744e-07	1	1	1	0.683223350046269	1	1	1
