ORA.Pval.Corrected.P0.05.cutoff_pos	B.CELL	CAF	ENDO.	MACROPHAGE	NK	STROMAL	T.CD4	T.CD8	T.CELL
clust1	NS	NS	NS	NS	NS	NS	NS	4.01372226265334e-08	9.95397839924522e-05
clust2	NS	NS	NS	NS	NS	NS	0.00121464577952467	NS	NS
clust3	0.00134334143007561	NS	NS	NS	NS	NS	NS	NS	NS
clust4	NS	NS	NS	NS	NS	NS	6.52932118637766e-05	NS	NS
clust5	NS	NS	NS	NS	NS	NS	NS	2.66994010367774e-06	NS
clust6	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust7	NS	NS	NS	2.74260902929905e-07	NS	NS	NS	NS	NS
clust8	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust9	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust10	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust11	NS	NS	NS	NS	NS	NS	NS	4.69659750253787e-06	0.0347548391909516
clust12	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust14	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS	NS	NS	NS
clust16	NS	NS	6.98267548434154e-08	NS	NS	NS	NS	NS	NS
clust17	NS	3.84077716845744e-07	NS	NS	NS	NS	NS	NS	NS
