ORA.Pval.Uncorrected.cutoff_pos.mLog	B.CELL	CAF	ENDO.	MACROPHAGE	NK	STROMAL	T.CD4	T.CD8	T.CELL
clust1	0.0467889737185731	0	0	0.043870343073247	1.30275140620766	0.0226143438668231	1.36774006923614	19.2281862654724	10.7190305513702
clust2	0.156297341155771	0	0	0.0315080545189172	2.11133019373088	0.0797756325705384	8.91052736151761	3.68867884541351	2.52983802306738
clust3	8.80981974169447	0	0	0.10345093808208	1.19567494894356	0.0678144370897027	1.15172051082445	0	0.127176201227257
clust4	0.714726840101144	0	0	0.18019511194113	1.62393226356113	0	11.8338470575031	1.82403382507266	1.28823973235761
clust5	0.0478831904886421	0	0.0200019291230632	0.0315080545189172	2.11133019373088	0.0174661342345597	3.47657853630093	15.0306790962195	3.72167271757849
clust6	0.156134671872525	0	2.8684415402435	0.239697528497783	0	3.22214894790545	0	0	0
clust7	0.00545203348357685	0	0.321646226661979	17.3064105604757	0.509070937763232	2.22594070537751	0.687313658175628	0.00973148864385774	0.119295350490544
clust8	0	0.959835337963601	0	1.31321476745287	0.495508900592463	1.15172051082445	0	0	0
clust9	0	0	1.85074234031274	0.382256021491291	0	4.49317988032009	0	0	0
clust10	0	1.5530054514391	0	0	0	2.40121822497338	0	0	0
clust11	0.1294646388918	0	0	0.0255309184714326	1.95222606379421	0.0654136313131497	1.76492140290248	14.4658968243827	4.86351385614944
clust12	0	0	0.88611320904877	2.01763437321085	0.772213385256892	0.557695964159542	0	0	0
clust13	0	0.737741618073014	2.8684415402435	0.239697528497783	0	3.22214894790545	0	0	0
clust14	0	4.30673849304063	1.37068422300306	0.239697528497783	0	1.76307827154785	0	0	0
clust15	0	0	0.592085742076029	1.31321476745287	0	2.53104934743232	0	0	0
clust16	0.00990079995167496	0	18.6744731707455	0.150120444690315	0.0501789352348058	2.44671573645765	0	0	0
clust17	0.0174726810260044	16.9696454945534	0.475875128073155	0.215857214995166	0	1.8850108563999	0	0	0
