Pvalue.All.mLog	ASTOCYTE	IMMUNE	NEOPLASTIC	NEURON	OLIGODENDROCYTE	OPC	VASCULAR
clust1	0.156653810045377	29.9336062089226	0.00100050033358353	0.124430078378177	0.0151136378100482	0	0.0151136378100482
clust2	0.543004522130226	29.9336062089226	0.512493680866688	0.149660774554406	0.00100050033358353	NA	0.0212236364516267
clust3	0.623621117911335	29.9336062089226	0.155484902840395	0.193584749072665	0.00100050033358353	NA	0.0565703514883944
clust4	0.426178149705706	0.0888312137066157	0.926341067727656	0.320205264157341	0.0608121393967575	29.9336062089226	0.0140989243795016
clust5	0.0704224642965458	0.334075112021491	29.9336062089226	0.23572233352107	0	0.00501254182354429	0
clust6	0.0314906670913708	0.63487827243597	29.9336062089226	0.0449973659307358	0.00301353614228684	0.00300450902029872	0
clust7	0.748659890490204	1.72036947314138	29.9336062089226	0.721546655081643	0.397496938458987	0.448416555805333	0.318828801448618
clust8	0.401971218853909	29.9336062089226	0.0758017134162818	0.215671536475509	0.125563222975346	NA	0.0253178079842899
clust9	0.00200400668069708	0.313341819232359	29.9336062089226	0	NA	1.13943428318836	NA
clust10	0.0253178079842899	29.9336062089226	0.0801260444792849	0.0130852395486555	0.00501254182354429	NA	0
clust11	0.393042588109607	0.423120043346885	1.56064774826467	0.0714960017050699	29.9336062089226	2.28178198595252	0.0120725812342692
clust12	29.9336062089226	0.0130852395486555	4.3428059215206	0.209487224866724	0.332679438382517	0.00702461493696447	0
clust13	0.115410851511328	2.46510402249182	29.9336062089226	0.151986356997882	0.0171461588349705	0.522560879984412	0
clust14	1.29098418131557	1.53247687129797	3.64965874096066	1.46533756846034	0.0822952427268302	0.00300450902029872	1.62964061975162
clust15	0.0736465401682985	4.01738352108597	5.29831736654804	0.089924707527987	NA	0.358104536748327	5.80914299031403
clust16	0.100925918589961	0.384192972832625	0.84863208340034	29.9336062089226	0.028399474521698	1.51868354916564	0
