Input_Sample	ASTOCYTE	IMMUNE	NEOPLASTIC	NEURON	OLIGODENDROCYTE	OPC	VASCULAR
clust1	0	1.0	0	0	0	0	0
clust2	0	0.9999999999999997	0	0	0	0	0
clust3	0	1.0	0	0	0	0	0
clust4	0	0	0	0	0	1.0	0
clust5	0	1.0	0	0	0	0	0
clust6	0	1.0	0	0	0	0	0
clust7	0	0.9999999999999999	0	0	0	0	0
clust8	0	0.9999999999999999	0	0	0	0	0
clust9	0	1.0	0	0	0	0	0
clust10	0	0.9999999999999999	0	0	0	0	0
clust11	0	0.003650413406185749	0	0	0.9963495865938141	0	0
clust12	1.0	0	0	0	0	0	0
clust13	0	0.9999999999999999	0	0	0	0	0
clust14	0	1.0	0	0	0	0	0
clust15	0	0.9999999999999999	0	0	0	0	0
clust16	0	1.0	0	0	0	0	0
