Input_Sample	P-value	Pearson Correlation	RMSE
clust1	0.002	0.9999999749190767	0.1547547211892209
clust2	0.004	0.9999999397729495	0.15475493934468054
clust3	0.004	0.9999999190247444	0.1547550681306813
clust4	0.445	0.9829295426976512	0.23820999440019267
clust5	0.049	0.9998571913749559	0.15563846990198604
clust6	0.008	0.9999989976967114	0.15476078678977165
clust7	0.053	0.9998359679598277	0.1557694027165465
clust8	0.002	0.999999999988836	0.15475456557857523
clust9	0.032	0.9999484420264593	0.15507426124191234
clust10	0.002	0.9999999940130105	0.15475460267116878
clust11	0.531	0.9798103013831654	0.24759835845580158
clust12	0.367	0.9881817782933112	0.2159945209219356
clust13	0.066	0.9997473513128002	0.1563149170765486
clust14	0.155	0.9982062889349474	0.16551427683361347
clust15	0.027	0.9999619015749285	0.15499086616978056
clust16	0.015	0.9999928146397767	0.1547991593967454
