ENRICHMENT	ENDO.	CAF	B.CELL	T.CD4	T.CD8	MACROPHAGE	NK	T.CELL
clust1	-0.118807745581652	-0.413209443493826	0.491543793437333	0.827556334013029	0.948580199539505	0.454816677764449	0.775494454406009	0.844431527160101
clust2	-0.300794238602378	-0.404777937094892	0.222050479964632	0.85393402097009	0.650031080523789	-0.0894568260894473	0.453742705283323	0.625626496505113
clust3	-0.474965915106721	-0.32569073349099	0.78016309112891	0.710435186715083	-0.189539826787599	0.019403459150908	0.310365411674262	0.0746239714192611
clust4	-0.100916648902134	-0.0882357621814397	0.0214535528449068	0.629443355212644	0.101907455522117	0.0977398720682517	0.39317548056261	0.470913913236904
clust5	0.063142187166924	-0.141346973571836	0.342889579832429	0.536166869167718	0.743661735307298	0.422068010473961	0.611772892924688	0.651106977001114
clust6	-0.0267911626229657	0.108640063860233	-0.295286544412111	-0.39604436332638	-0.453696597595513	-0.341487876775357	-0.387951822258091	-0.410875515875405
clust7	0.211428103035131	-0.539043096881082	0.464975862359413	0.559299354292483	0.518670221136032	0.780337799846981	0.322044493595429	0.313646842782251
clust8	0.026604135578797	0.0197783461211016	-0.169704763975233	-0.415038255663807	-0.440600764135131	0.0429424307036459	-0.123837447278486	-0.407991016057388
clust9	-0.184730023762128	-0.384825730864802	-0.460980617324737	-0.340275713175177	-0.325573462948749	-0.354825685401642	-0.537618236633997	-0.319412852096836
clust10	-0.392770599666165	0.393326356838538	-0.36301116816117	-0.458784417355557	-0.340897012023428	-0.458889367905378	-0.351930990251393	-0.510476064154164
clust11	-0.4472254550894	-0.368348355448922	0.685898918374712	0.651947830534548	0.80378613456122	0.190473590490213	0.515296569048174	0.73707189506234
clust12	-0.294055830095657	-0.063256606990582	-0.319895141153683	-0.433211149944473	-0.341903300076746	-0.220754434541877	-0.074504058059445	-0.38395366717476
clust13	0.281361804056521	0.250551450403101	-0.113739301349075	-0.390077572244541	-0.252749945178576	0.103203317235787	-0.086611407925475	0.0525763655892968
clust14	0.357260940870454	0.578836382079453	-0.0879894225027051	-0.369213826311774	-0.0542338193911457	-0.0273569688232618	-0.121628886393274	-0.0345401048996484
clust15	0.12922617778728	0.0290281329923626	-0.16302573667009	-0.474085755690045	-0.211879708921481	-0.289380776176129	-0.463262839204114	-0.212377529161445
clust16	0.771861010445355	0.314684356160204	-0.148531116798107	-0.0145767624244127	-0.391916091071969	0.0240782113780359	-0.209947833627264	-0.373221020192306
clust17	0.37905025340564	0.961423699914721	0.0191128787066077	-0.232333134430225	-0.287797390636956	0.102286988350165	-0.37903123733548	-0.371323607364975
