ORA.Pval.Uncorrected.P0.05.cutoff_pos	ACINAR_CELL	B_CELL	DUCTAL_CELL_TYPE_1	DUCTAL_CELL_TYPE_2	ENDOCRINE_CELL	ENDOTHELIAL_CELL	FIBROBLAST	MACROPHAGE	STELLATE_CELL	T_CELL
clust1	NS	1.58757054550598e-08	NS	NS	NS	NS	1.34162383563908e-13	NS	1.08083086774664e-116	2.93939308730115e-06
clust2	NS	1.14655219100722e-33	NS	NS	NS	NS	NS	1.35449550964952e-125	NS	2.90410545399729e-31
clust3	NS	4.86761331903585e-05	NS	NS	NS	6.34099793702295e-140	NS	NS	0.0132757539285993	7.23460025940673e-06
clust4	NS	2.93456378972845e-06	2.04054450501008e-08	2.17125716239576e-122	NS	NS	NS	NS	NS	6.17323922863124e-06
clust5	0.00190970100758175	8.46807997505065e-07	3.15257024286808e-125	8.88870701140491e-09	NS	NS	NS	NS	NS	0.00333043288606943
clust6	NS	0.00127864705807801	1.3313941842441e-05	5.40572268945912e-208	NS	NS	NS	NS	NS	0.00265680383958969
clust7	NS	1.18735494761244e-07	NS	NS	NS	7.52214531573684e-63	NS	NS	0.00239068470494839	4.59503737648126e-08
clust8	NS	0.000314645279245273	NS	NS	NS	NS	9.04249532990331e-104	NS	1.22726339688891e-25	0.00130982479656984
clust9	2.34058567921154e-07	2.40655913089206e-08	1.24374949163238e-117	1.18707601027652e-09	NS	NS	NS	NS	NS	0.00220825416182022
clust10	NS	2.2765451338057e-59	NS	NS	NS	NS	NS	3.00963612692443e-07	NS	3.38980127294718e-122
clust11	2.42450459965262e-05	2.77128089000088e-07	3.48107891647984e-102	5.46249097592081e-21	NS	NS	NS	NS	NS	9.55176969898252e-05
clust12	NS	0.00320861899374655	NS	NS	NS	NS	2.3366417986985e-153	NS	1.20284938035767e-15	0.00163674758701525
clust13	NS	1.05050066847169e-119	NS	NS	NS	NS	NS	5.13144952236024e-05	NS	7.42108609315527e-63
clust14	1.56836824204685e-36	4.51633021955638e-14	8.59143791567533e-23	3.69024307780881e-06	NS	NS	NS	NS	NS	8.14632549183287e-08
clust15	NS	6.75618296557588e-07	2.13829373209238e-08	8.63871120663884e-80	NS	NS	NS	NS	NS	0.000114149021327122
clust16	NS	1.2979843345002e-09	7.62268609559259e-07	5.22124559943679e-102	NS	NS	NS	NS	NS	2.11261417870196e-07
clust17	NS	9.24621544231013e-09	NS	NS	NS	NS	3.45817575215808e-50	NS	1.50813877845391e-07	3.48602659912318e-06
clust18	NS	5.98769161203774e-176	NS	NS	NS	NS	NS	2.76021761833163e-11	NS	1.14049679152912e-62
clust19	NS	1.4613273364869e-35	NS	2.697317206862e-05	NS	NS	NS	7.62961763692756e-06	NS	6.21836229870323e-34
clust20	NS	1.26287253191182e-05	0.0010919385523199	5.70859459428189e-87	NS	NS	NS	NS	NS	4.07032124929292e-06
clust21	0.000161494969511158	0.000151024628379587	4.32146855989052e-60	0.0265162169048775	NS	4.65885482538462e-12	NS	NS	NS	0.00181093340112238
clust22	8.81651877720936e-05	2.87570642378223e-07	2.71545854727673e-13	0.00130426163295008	9.16951922133288e-67	NS	NS	NS	NS	3.8083104766383e-06
clust23	NS	4.18271445895589e-42	NS	NS	NS	NS	NS	2.71114763015631e-105	NS	1.27936282444128e-36
clust24	NS	2.53117079730335e-15	NS	NS	NS	NS	1.18948852512071e-40	NS	3.2300102337899e-43	1.30171979949008e-47
clust25	NS	1.07459457792228e-13	NS	NS	NS	NS	3.22024016695381e-09	9.95102744244707e-47	4.94955279961242e-45	1.96603713403194e-16
clust26	NS	4.59528603968513e-75	NS	NS	NS	NS	NS	4.68286965885401e-11	NS	2.01077235700443e-152
clust27	NS	1.59279614507514e-11	NS	NS	NS	2.01179041470062e-87	NS	NS	NS	9.10972127884593e-26
clust28	NS	2.95711157429727e-43	NS	NS	NS	NS	NS	4.58981495264344e-99	NS	5.14477830234238e-85
clust29	NS	0.000507010426282404	NS	NS	NS	3.47975593029161e-53	0.00206757578630372	NS	2.30528237608828e-40	1.12982266927013e-05
clust30	NS	4.88214587176641e-10	NS	NS	NS	7.5830987097509e-50	NS	4.70470895202575e-36	NS	6.83451070673785e-15
clust31	6.5073605557468e-08	1.14732297179265e-05	9.17060091257412e-30	NS	3.74855837814718e-62	NS	NS	NS	NS	0.00104790308132125
clust32	NS	5.78344797302048e-10	NS	NS	NS	NS	9.10811474190224e-16	NS	1.29000200070768e-103	6.65308362874638e-08
clust33	0.00014389798858002	7.8347550078466e-05	3.18445204715317e-60	NS	NS	NS	NS	NS	4.70939027919686e-38	0.00393314896039283
