ORA.Pval.Corrected.P0.05.cutoff_pos	ACINAR_CELL	B_CELL	DUCTAL_CELL_TYPE_1	DUCTAL_CELL_TYPE_2	ENDOCRINE_CELL	ENDOTHELIAL_CELL	FIBROBLAST	MACROPHAGE	STELLATE_CELL	T_CELL
clust1	NS	5.29190181835328e-08	NS	NS	NS	NS	6.70811917819541e-13	NS	1.08083086774664e-115	7.34848271825288e-06
clust2	NS	5.73276095503609e-33	NS	NS	NS	NS	NS	1.35449550964952e-124	NS	9.68035151332431e-31
clust3	NS	0.000162253777301195	NS	NS	NS	6.34099793702295e-139	NS	NS	0.0331893848214983	3.61730012970337e-05
clust4	NS	9.78187929909482e-06	1.02027225250504e-07	2.17125716239576e-121	NS	NS	NS	NS	NS	1.54330980715781e-05
clust5	0.00477425251895437	2.82269332501688e-06	3.15257024286808e-124	4.44435350570245e-08	NS	NS	NS	NS	NS	0.00666086577213885
clust6	NS	0.00426215686026002	6.65697092122049e-05	5.40572268945912e-207	NS	NS	NS	NS	NS	0.00664200959897422
clust7	NS	3.95784982537479e-07	NS	NS	NS	7.52214531573684e-62	NS	NS	0.00597671176237098	2.29751868824063e-07
clust8	NS	0.00104881759748424	NS	NS	NS	NS	9.04249532990331e-103	NS	6.13631698444457e-25	0.00327456199142459
clust9	5.85146419802885e-07	8.0218637696402e-08	1.24374949163238e-116	5.93538005138261e-09	NS	NS	NS	NS	NS	0.00441650832364045
clust10	NS	1.13827256690285e-58	NS	NS	NS	NS	NS	1.00321204230815e-06	NS	3.38980127294718e-121
clust11	6.06126149913155e-05	9.23760296666961e-07	3.48107891647984e-101	2.73124548796041e-20	NS	NS	NS	NS	NS	0.00019103539397965
clust12	NS	0.00802154748436638	NS	NS	NS	NS	2.3366417986985e-152	NS	6.01424690178837e-15	0.00545582529005084
clust13	NS	1.05050066847169e-118	NS	NS	NS	NS	NS	0.000171048317412008	NS	3.71054304657764e-62
clust14	1.56836824204685e-35	1.50544340651879e-13	4.29571895783767e-22	7.38048615561762e-06	NS	NS	NS	NS	NS	2.03658137295822e-07
clust15	NS	2.25206098852529e-06	1.06914686604619e-07	8.63871120663884e-79	NS	NS	NS	NS	NS	0.000285372553317805
clust16	NS	6.48992167250101e-09	1.90567152389815e-06	5.22124559943679e-101	NS	NS	NS	NS	NS	7.04204726233988e-07
clust17	NS	4.62310772115506e-08	NS	NS	NS	NS	3.45817575215808e-49	NS	5.02712926151303e-07	8.71506649780795e-06
clust18	NS	5.98769161203774e-175	NS	NS	NS	NS	NS	9.20072539443877e-11	NS	5.70248395764562e-62
clust19	NS	1.4613273364869e-34	NS	6.74329301715499e-05	NS	NS	NS	2.54320587897585e-05	NS	3.10918114935162e-33
clust20	NS	4.20957510637272e-05	0.00272984638079975	5.70859459428189e-86	NS	NS	NS	NS	NS	2.03516062464646e-05
clust21	0.000403737423777896	0.000403737423777896	4.32146855989052e-59	0.0441936948414625	NS	2.32942741269231e-11	NS	NS	NS	0.00362186680224475
clust22	0.000176330375544187	9.58568807927411e-07	1.35772927363837e-12	0.00217376938825014	9.16951922133288e-66	NS	NS	NS	NS	9.52077619159575e-06
clust23	NS	2.09135722947794e-41	NS	NS	NS	NS	NS	2.71114763015631e-104	NS	4.26454274813761e-36
clust24	NS	6.32792699325838e-15	NS	NS	NS	NS	3.96496175040236e-40	NS	1.61500511689495e-42	1.30171979949008e-46
clust25	NS	2.68648644480571e-13	NS	NS	NS	NS	6.44048033390762e-09	9.95102744244707e-46	2.47477639980621e-44	6.55345711343981e-16
clust26	NS	2.29764301984256e-74	NS	NS	NS	NS	NS	1.56095655295134e-10	NS	2.01077235700443e-151
clust27	NS	5.30932048358381e-11	NS	NS	NS	2.01179041470062e-86	NS	NS	NS	4.55486063942297e-25
clust28	NS	9.85703858099089e-43	NS	NS	NS	NS	NS	4.58981495264344e-98	NS	2.57238915117119e-84
clust29	NS	0.00126752606570601	NS	NS	NS	3.47975593029161e-52	0.00413515157260744	NS	1.15264118804414e-39	3.76607556423378e-05
clust30	NS	1.2205364679416e-09	NS	NS	NS	7.5830987097509e-49	NS	2.35235447601287e-35	NS	2.27817023557928e-14
clust31	2.16912018524893e-07	2.86830742948164e-05	4.58530045628706e-29	NS	3.74855837814718e-61	NS	NS	NS	NS	0.00209580616264249
clust32	NS	1.92781599100683e-09	NS	NS	NS	NS	4.55405737095112e-15	NS	1.29000200070768e-102	1.66327090718659e-07
clust33	0.000359744971450049	0.000261158500261553	3.18445204715317e-59	NS	NS	NS	NS	NS	2.35469513959843e-37	0.00786629792078566
