ORA.Pval.Uncorrected.cutoff_pos.mLog	ACINAR_CELL	B_CELL	DUCTAL_CELL_TYPE_1	DUCTAL_CELL_TYPE_2	ENDOCRINE_CELL	ENDOTHELIAL_CELL	FIBROBLAST	MACROPHAGE	STELLATE_CELL	T_CELL
clust1	0.0018231918422892	17.958475855041	0.679868415897643	0.0172222917789851	0.000141294338806012	0.0617082852834064	29.639725510977	0.00552410638956508	267.022140719962	12.7373074308147
clust2	0.00775886770704918	75.8485487244939	0.133348407946578	0.280018129366474	1.49006975318197e-06	1.28054011846884e-10	1.83693804139904e-05	287.519707556853	0.000995174272666882	70.3140124731522
clust3	2.07637102983514e-05	9.93032172623004	0.000773185366645489	6.5989080606492e-05	5.94202465011395e-12	320.514876859788	0.0894406735901754	0.00579967061016021	4.32181592035198	11.8366354503531
clust4	0.109487404458555	12.7389517393317	17.7074640574909	280.140075007963	0.000151821806410242	6.53399556684778e-12	8.91061606251649e-09	0.251753770191602	2.37795210536878e-06	11.9952868612728
clust5	6.26080858971046	13.9817918533455	286.674918554008	18.538484241035	0.220998580391413	8.49389447701845e-11	4.63384767845782e-05	3.28483313709233e-06	0.178365108728664	5.70465298762186
clust6	0.0389723751329525	6.66195274593068	11.226698812946	477.25024119303	2.06405922339299e-07	9.99200722162641e-16	0	0.0029419377294032	4.64961402713124e-13	5.93063144270943
clust7	1.8667674748217	15.9463675508715	0.183199464570588	0.00550100709068174	3.09146194879541e-05	143.04500948	0.0105815449607462	0.0313889412893783	6.0361754666423	16.8957038540143
clust8	0.142632046169467	8.06406465129704	1.01725876026489	0.000229525292527784	0.000458028391526633	0.0194404701948567	237.266914502998	0.0383370315255818	57.359840514769	6.63786189378994
clust9	15.2676944626447	17.5424827631689	269.184325279551	20.5517726877528	0.320552008899798	1.0269562977788e-12	0.000111123989666849	3.85815939671556e-06	0.0681373181666309	6.11555304767185
clust10	0.00496160247544732	135.029861485089	0.0641851200119602	0.242673893694829	0.0294047272016446	5.35795963295991e-10	8.77880276631671e-05	15.0162764675701	0.0265110129450875	279.694610047149
clust11	10.6272982502536	15.0987860224772	233.616337206186	46.65638204446	0.0195411029899868	1.02196029416798e-12	2.190471963667e-05	0.036734749382299	0.038272215885739	9.25619901885116
clust12	3.90361613219928e-05	5.74191465442805	0.126174324934412	0.00139812089571639	0.000234890745023251	0.00273316573389222	351.446804458264	0.0185878826749305	34.3540831691169	6.41504418489786
clust13	0.00581036446535126	273.958359188652	0.0319767517057475	0.0469357341294463	0.0216729875532244	2.05066963431187e-10	3.29968524321356e-05	9.87753728773457	0.00437197896842749	143.058535438417
clust14	82.4430276051858	30.7284915361687	50.8086910227342	12.5098182273365	1.37296713768286	1.64904821159041e-08	0.0843459934240004	0.0579205942792005	0.247691760838555	16.3231137782653
clust15	0.102154123498094	14.2076375704411	17.6606725544006	182.050554033732	1.41780623492508e-05	3.39728245535304e-14	0.083134513257045	0.678256171322888	0.00647748658327909	9.07800575859402
clust16	0.0325213351398041	20.4624532876894	14.0869668373921	233.210943491382	5.47306227372155e-05	1.66977542903637e-13	1.81188910414249e-07	0.585019748598801	2.7816492411076e-05	15.37016952308
clust17	0.00732809924239103	18.4990515105151	1.05621186836349	2.10653826770181	0.0027423104482214	7.62552322242847e-05	113.888513438933	1.78833172382979	15.7072193574544	12.566747980625
clust18	0.000356770832447461	403.465270402717	0.0289356511678477	0.138709350066877	5.31822336159535e-05	6.99440505513851e-15	2.43027820090476e-13	24.3131264990921	7.5662927526204e-07	142.628811816107
clust19	0.471892103979719	80.2111330975038	3.0988042804381	10.5206678130227	0.289534942879307	1.85958256500595e-06	1.32893966831192	11.7834728270393	0.489769141029343	76.4603865857434
clust20	0.00377559213598527	11.2795365515472	6.81980067401201	198.582930227708	2.91645009788347e-06	8.59023200709186e-09	0.566183894470353	0.272577354033081	0.0561444516557046	12.4117886305945
clust21	8.73103656432441	8.79806763259744	136.691510290736	3.62999877448569	0.0164794145765179	26.092251443617	5.49427208196057e-05	2.61528654922209e-05	1.13737256739414	6.31391287539959
clust22	9.3362983693262	15.0617972942715	28.9346453757731	6.64211819683754	152.057316375224	4.39462779164502e-08	0.00500534455475927	0.0509236182487141	0.203492287036467	12.4783249116281
clust23	0.0335566309534284	95.2776134778824	0.545943368674092	0.335733101958923	8.41065898244741e-09	1.08346798258627e-09	1.21294437411655e-07	240.774062739363	0.000192054903434361	82.6467011871996
clust24	0.000133724980016559	33.6100944334817	0.0429508305214423	2.17747423930164e-05	6.69987927369385e-05	0.00637415318688114	91.9298803158565	2.17637660611086	97.8386736931584	107.957813057859
clust25	9.05824094465809e-05	29.8616627552934	0.016335058102057	0.000180499656876965	1.42000000747722e-09	0.0177814674196773	19.553809894161	105.923823564333	102.017031955745	36.1653415782442
clust26	0.000112202752092334	171.16885097048	0.407401610053034	0.839833213975972	3.94686889654782e-05	3.10973469197555e-13	1.56842905453022e-09	23.7845249259511	8.06534911487424e-06	349.294415229616
clust27	0.00700014388025733	24.8629449693886	0.00329163158187419	4.3264036147943e-05	3.97148980447775e-10	199.625878011314	0.0809987801489261	0.377996707188964	1.73387194182172	57.6578703021186
clust28	0.00382596661753206	97.926946026324	0.00784005297456043	0.00444052555062711	3.25487662112619e-06	8.56263949000844e-10	2.65480127083298e-05	226.432084498479	0.000400921451590752	194.08175062606
clust29	0.207676404908086	7.58697898992497	0.0527322539971927	1.34122674870837e-05	2.89674950735053e-10	120.790047772331	6.18137847572677	2.84729534477057e-05	91.2682005449213	11.3908647744102
clust30	0.0255934889621528	21.4402660789064	0.00390479410501151	1.03810346267716e-05	4.3970382890376e-12	113.103332732826	0.0101425345828323	81.3444994359548	0.447717423769714	32.6167915137291
clust31	16.5477468145325	11.3754940868665	66.8615499754302	2.78877558042823	141.438904432056	1.94925272269033e-08	0.000236735395635645	9.174753999584e-05	0.0651939175423607	6.86096417701509
clust32	6.76432085101931e-05	21.2708508899879	0.400061178541271	0.00144427030427356	1.20051051200834e-07	0.463650197297237	34.6321957418574	0.00203730144535986	236.911620809078	16.525600293191
clust33	8.84640592206983	9.45435585859221	136.99682534713	2.23658793720745	0.0224725160974177	2.22483403674771e-05	0.923637832984471	2.16518581297377e-06	85.9486750865249	5.53831491175367
